# All target-date fund series with tickered classes, from SEC series/class census 2026
# Generated 2026-07-07; 387 series; one class per series (retail-preferred)
# Usage: fundautopsy wrapper $(grep -v "^#" data/universes/tdf_all.txt | tr "
" " ")
FHUEX  # Fidelity Freedom Blend 2055 Fund | Fidelity Advisor Freedom Blend 2055 Fund: Class A
FHNEX  # Fidelity Freedom Blend 2060 Fund | Fidelity Advisor Freedom Blend 2060 Fund: Class A
FAZAX  # Fidelity Freedom Blend 2065 Fund | Fidelity Advisor Freedom Blend 2065 Fund: Class A
FRCHX  # Fidelity Freedom Blend 2070 Fund | Fidelity Advisor Freedom Blend 2070 Fund: Class A
FKIFX  # Fidelity Freedom Index 2010 Fund | Investor Class
FLIFX  # Fidelity Freedom Index 2015 Fund | Investor Class
FPIFX  # Fidelity Freedom Index 2020 Fund | Investor Class
FQIFX  # Fidelity Freedom Index 2025 Fund | Investor Class
FXIFX  # Fidelity Freedom Index 2030 Fund | Investor Class
FIHFX  # Fidelity Freedom Index 2035 Fund | Investor Class
FBIFX  # Fidelity Freedom Index 2040 Fund | Investor Class
FIOFX  # Fidelity Freedom Index 2045 Fund | Investor Class
FIPFX  # Fidelity Freedom Index 2050 Fund | Investor Class
FDEWX  # Fidelity Freedom Index 2055 Fund | Investor Class
FDKLX  # Fidelity Freedom Index 2060 Fund | Investor Class
FFIJX  # Fidelity Freedom Index 2065 Fund | Investor Class
FRBVX  # Fidelity Freedom Index 2070 Fund | Investor Class
FRQAX  # Fidelity Managed Retirement 2010 Fund | Fidelity Advisor Managed Retirement 2010 Fund: Class A
FARSX  # Fidelity Managed Retirement 2015 Fund | Fidelity Advisor Managed Retirement 2015 Fund: Class A
FARVX  # Fidelity Managed Retirement 2020 Fund | Fidelity Advisor Managed Retirement 2020 Fund: Class A
FARFX  # Fidelity Managed Retirement 2025 Fund | Fidelity Advisor Managed Retirement 2025 Fund: Class A
FMRBX  # Fidelity Managed Retirement 2030 Fund | Fidelity Advisor Managed Retirement 2030 Fund: Class A
FMRUX  # Fidelity Managed Retirement 2035 Fund | Fidelity Advisor Managed Retirement 2035 Fund: Class A
FIRWX  # Fidelity Simplicity RMD 2020 Fund | Fidelity Simplicity RMD 2020 Fund
FSRMX  # Fidelity Simplicity RMD 2030 Fund | Fidelity Simplicity RMD 2030 Fund
FSUZX  # Fidelity Sustainable Target Date 2010 Fund | Fidelity Advisor Sustainable Target Date 2010 Fund: Class A
FSVOX  # Fidelity Sustainable Target Date 2015 Fund | Fidelity Advisor Sustainable Target Date 2015 Fund: Class A
FSWEX  # Fidelity Sustainable Target Date 2020 Fund | Fidelity Advisor Sustainable Target Date 2020 Fund: Class A
FSWQX  # Fidelity Sustainable Target Date 2025 Fund | Fidelity Advisor Sustainable Target Date 2025 Fund: Class A
FSXBX  # Fidelity Sustainable Target Date 2030 Fund | Fidelity Advisor Sustainable Target Date 2030 Fund: Class A
