# All target-date fund series with tickered classes, from SEC series/class census 2026
# Generated 2026-07-07; 387 series; one class per series (retail-preferred)
# Usage: fundautopsy wrapper $(grep -v "^#" data/universes/tdf_all.txt | tr "
" " ")
VBCJ  # Vanguard Target Maturity 2036 Corporate Bond ETF | ETF Shares
VTWNX  # Vanguard Target Retirement 2020 Fund | Investor Shares
VTTVX  # Vanguard Target Retirement 2025 Fund | Investor Shares
VTHRX  # Vanguard Target Retirement 2030 Fund | Investor Shares
VTTHX  # Vanguard Target Retirement 2035 Fund | Investor Shares
VFORX  # Vanguard Target Retirement 2040 Fund | Investor Shares
VTIVX  # Vanguard Target Retirement 2045 Fund | Investor Shares
VFIFX  # Vanguard Target Retirement 2050 Fund | Investor Shares
VFFVX  # Vanguard Target Retirement 2055 Fund | Investor Shares
VTTSX  # Vanguard Target Retirement 2060 Fund | Investor Shares
VLXVX  # Vanguard Target Retirement 2065 Fund | Investor Shares
VSVNX  # Vanguard Target Retirement 2070 Fund | Investor Shares
URTRX  # Victory Target Retirement 2030 Fund (Formerly USAA Target Retirement 2030 Fund) | Victory Target Retirement 2030 Fund
URFRX  # Victory Target Retirement 2040 Fund (Formerly USAA Target Retirement 2040 Fund) | Victory Target Retirement 2040 Fund
URFFX  # Victory Target Retirement 2050 Fund (Formerly USAA Target Retirement 2050 Fund) | Victory Target Retirement 2050 Fund
URSIX  # Victory Target Retirement 2060 Fund (Formerly USAA Target Retirement 2060 Fund) | Victory Target Retirement 2060 Fund
VARTX  # Virtus DFA 2015 Target Date Retirement Income Fund | Class A
IDXFX  # Voya Index Solution 2030 Portfolio | Class ADV
IDXKX  # Voya Index Solution 2040 Portfolio | Class ADV
IDXPX  # Voya Index Solution 2050 Portfolio | Class ADV
VPSAX  # Voya Index Solution 2060 Portfolio | Class ADV
ISNFX  # Voya Solution 2030 Portfolio | Class ADV
ISNKX  # Voya Solution 2040 Portfolio | Class ADV
ISNPX  # Voya Solution 2050 Portfolio | Class ADV
VSPAX  # Voya Solution 2060 Portfolio | Class ADV
ITDA  # iShares LifePath Target Date 2025 ETF | iShares LifePath Target Date 2025 ETF
ITDB  # iShares LifePath Target Date 2030 ETF | iShares LifePath Target Date 2030 ETF
ITDC  # iShares LifePath Target Date 2035 ETF | iShares LifePath Target Date 2035 ETF
ITDD  # iShares LifePath Target Date 2040 ETF | iShares LifePath Target Date 2040 ETF
ITDE  # iShares LifePath Target Date 2045 ETF | iShares LifePath Target Date 2045 ETF
ITDF  # iShares LifePath Target Date 2050 ETF | iShares LifePath Target Date 2050 ETF
ITDG  # iShares LifePath Target Date 2055 ETF | iShares LifePath Target Date 2055 ETF
ITDH  # iShares LifePath Target Date 2060 ETF | iShares LifePath Target Date 2060 ETF
ITDI  # iShares LifePath Target Date 2065 ETF | iShares LifePath Target Date 2065 ETF
ITDJ  # iShares LifePath Target Date 2070 ETF | iShares LifePath Target Date 2070 ETF
IBHJ  # iShares iBonds 2030 Term High Yield and Income ETF | iShares iBonds 2030 Term High Yield and Income ETF
IBDV  # iShares iBonds Dec 2030 Term Corporate ETF | iShares iBonds Dec 2030 Term Corporate ETF
IBMS  # iShares iBonds Dec 2030 Term Muni Bond ETF | iShares iBonds Dec 2030 Term Muni Bond ETF
IBTK  # iShares iBonds Dec 2030 Term Treasury ETF | iShares iBonds Dec 2030 Term Treasury ETF
IBIG  # iShares iBonds Oct 2030 Term TIPS ETF | iShares iBonds Oct 2030 Term TIPS ETF
