form,company,cik,date_filed,filing_path,event
N-14,"AB Active ETFs, Inc.",1496608,2024-01,-03  edgar/data/1496608/0000919574-24-000039.txt,merger/reorg
N-14,AMERICAN PENSION INVESTORS TRUST,764859,2024-02,-20  edgar/data/764859/0001580642-24-001044.txt,merger/reorg
N-14,DELAWARE GROUP ADVISER FUNDS,910682,2024-01,-18  edgar/data/910682/0001137439-24-000517.txt,merger/reorg
N-14,DELAWARE GROUP EQUITY FUNDS II,27574,2024-01,-18  edgar/data/27574/0001137439-24-000519.txt,merger/reorg
N-14,DELAWARE GROUP LIMITED-TERM GOVERNMENT FUNDS,357059,2024-01,-18  edgar/data/357059/0001137439-24-000523.txt,merger/reorg
N-14,Datum One Series Trust,1806095,2024-03,-14  edgar/data/1806095/0001193125-24-067125.txt,merger/reorg
N-14,FRANKLIN MUTUAL SERIES FUNDS,825063,2024-01,-10  edgar/data/825063/0001680359-24-000018.txt,merger/reorg
N-14,Fidelity Rutland Square Trust II,1364924,2024-03,-28  edgar/data/1364924/0001133228-24-002848.txt,merger/reorg
N-14,GOLDMAN SACHS TRUST,822977,2024-02,-20  edgar/data/822977/0001193125-24-040133.txt,merger/reorg
N-14,HC CAPITAL TRUST,934563,2024-03,-15  edgar/data/934563/0001104659-24-034906.txt,merger/reorg
N-14,IVY FUNDS,883622,2024-01,-18  edgar/data/883622/0001137439-24-000515.txt,merger/reorg
N-14,IVY FUNDS,883622,2024-01,-18  edgar/data/883622/0001137439-24-000521.txt,merger/reorg
N-14,Ivy Variable Insurance Portfolios,810016,2024-01,-17  edgar/data/810016/0001137439-24-000384.txt,merger/reorg
N-14,John Hancock Funds III,1329954,2024-01,-24  edgar/data/1329954/0001193125-24-013179.txt,merger/reorg
N-14,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,914036,2024-01,-08  edgar/data/914036/0001193125-24-004515.txt,merger/reorg
N-14,LORD ABBETT INVESTMENT TRUST,911507,2024-01,-05  edgar/data/911507/0000930413-24-000037.txt,merger/reorg
N-14,Legg Mason ETF Investment Trust,1645194,2024-03,-04  edgar/data/1645194/0001193125-24-057876.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2024-03,-14  edgar/data/1469192/0001193125-24-067138.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2024-03,-14  edgar/data/1469192/0001193125-24-067143.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2024-03,-14  edgar/data/1469192/0001193125-24-067151.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2024-03,-14  edgar/data/1469192/0001193125-24-067152.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2024-03,-14  edgar/data/1469192/0001193125-24-067154.txt,merger/reorg
N-14,NEOS ETF Trust,1848758,2024-02,-09  edgar/data/1848758/0001999371-24-001777.txt,merger/reorg
N-14,Neuberger Berman ETF Trust,1506001,2024-03,-01  edgar/data/1506001/0000898432-24-000192.txt,merger/reorg
N-14,North Square Investments Trust,1750821,2024-02,-01  edgar/data/1750821/0001580642-24-000711.txt,merger/reorg
N-14,TCW ETF Trust,1831313,2024-01,-17  edgar/data/1831313/0001829126-24-000240.txt,merger/reorg
N-14,TCW FUNDS INC,892071,2024-03,-27  edgar/data/892071/0001193125-24-078914.txt,merger/reorg
N-14,THRIVENT MUTUAL FUNDS,811869,2024-03,-28  edgar/data/811869/0001193125-24-079862.txt,merger/reorg
N-14,THRIVENT MUTUAL FUNDS,811869,2024-03,-28  edgar/data/811869/0001193125-24-079867.txt,merger/reorg
N-14,THRIVENT SERIES FUND INC,790166,2024-03,-28  edgar/data/790166/0001193125-24-079872.txt,merger/reorg
N-14,THRIVENT SERIES FUND INC,790166,2024-03,-28  edgar/data/790166/0001193125-24-079881.txt,merger/reorg
N-14,VOYAGEUR TAX FREE FUNDS,733362,2024-01,-18  edgar/data/733362/0001137439-24-000525.txt,merger/reorg
N-14,Voya PARTNERS INC,1039001,2024-03,-18  edgar/data/1039001/0001683863-24-001481.txt,merger/reorg
