form,company,cik,date_filed,filing_path,event
N-14,ADVANCED SERIES TRUST,814679,2020-10,-13  edgar/data/814679/0001104659-20-114381.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2020-10,-13  edgar/data/814679/0001104659-20-114382.txt,merger/reorg
N-14,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE,FUN  896435,2020-12,-04  edgar/data/896435/0001137439-20-000984.txt,merger/reorg
N-14,AMG FUNDS,1089951,2020-10,-13  edgar/data/1089951/0001193125-20-268564.txt,merger/reorg
N-14,AQR Funds,1444822,2020-11,-17  edgar/data/1444822/0001193125-20-295702.txt,merger/reorg
N-14,AQR Funds,1444822,2020-11,-25  edgar/data/1444822/0001193125-20-303685.txt,merger/reorg
N-14,Advisors' Inner Circle Fund III,1593547,2020-10,-28  edgar/data/1593547/0001398344-20-020969.txt,merger/reorg
N-14,Advisors' Inner Circle Fund III,1593547,2020-10,-30  edgar/data/1593547/0001398344-20-021115.txt,merger/reorg
N-14,BRAGG CAPITAL TRUST,1170611,2020-10,-14  edgar/data/1170611/0001104659-20-114615.txt,merger/reorg
N-14,CITIZENSSELECT FUNDS,1167368,2020-11,-18  edgar/data/1167368/0001104659-20-126711.txt,merger/reorg
N-14,DREYFUS CASH MANAGEMENT,759667,2020-11,-18  edgar/data/759667/0001104659-20-126707.txt,merger/reorg
N-14,DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS,740766,2020-11,-18  edgar/data/740766/0001104659-20-126723.txt,merger/reorg
N-14,DREYFUS TREASURY SECURITIES CASH MANAGEMENT,843781,2020-11,-18  edgar/data/843781/0001104659-20-126715.txt,merger/reorg
N-14,FIDELITY INVESTMENT TRUST,744822,2020-12,-30  edgar/data/744822/0001193125-20-329905.txt,merger/reorg
N-14,FIDELITY MAGELLAN FUND,61397,2020-12,-30  edgar/data/61397/0001193125-20-329474.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND IV,1517936,2020-11,-18  edgar/data/1517936/0001445546-20-005466.txt,merger/reorg
N-14,"GENERAL MONEY MARKET FUND, INC.",353560,2020-11,-18  edgar/data/353560/0001104659-20-126721.txt,merger/reorg
N-14,GOLDMAN SACHS TRUST,822977,2020-11,-13  edgar/data/822977/0001193125-20-292808.txt,merger/reorg
N-14,GREAT-WEST FUNDS INC,356476,2020-10,-02  edgar/data/356476/0001193125-20-262336.txt,merger/reorg
N-14,GREAT-WEST FUNDS INC,356476,2020-10,-02  edgar/data/356476/0001193125-20-262352.txt,merger/reorg
N-14,Highland Funds I,1354917,2020-10,-30  edgar/data/1354917/0001193125-20-282759.txt,merger/reorg
N-14,Intrepid Capital Management Funds Trust,1300746,2020-11,-25  edgar/data/1300746/0000894189-20-009277.txt,merger/reorg
N-14,Investment Managers Series Trust,1318342,2020-12,-23  edgar/data/1318342/0001398344-20-025022.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2020-10,-30  edgar/data/1587982/0001398344-20-021111.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2020-11,-27  edgar/data/1587982/0001398344-20-023528.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-17  edgar/data/933691/0000933691-20-000985.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-17  edgar/data/933691/0000933691-20-000987.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-17  edgar/data/933691/0000933691-20-000989.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-17  edgar/data/933691/0000933691-20-000991.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-17  edgar/data/933691/0000933691-20-000993.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-17  edgar/data/933691/0000933691-20-000995.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-18  edgar/data/933691/0000933691-20-000997.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-18  edgar/data/933691/0000933691-20-000999.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-18  edgar/data/933691/0000933691-20-001001.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-18  edgar/data/933691/0000933691-20-001003.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-18  edgar/data/933691/0000933691-20-001005.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2020-12,-18  edgar/data/933691/0000933691-20-001007.txt,merger/reorg
N-14,James Alpha Funds Trust,1829774,2020-12,-18  edgar/data/1829774/0001580642-20-004549.txt,merger/reorg
N-14,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,914036,2020-12,-22  edgar/data/914036/0001193125-20-323472.txt,merger/reorg
N-14,PRUDENTIAL INVESTMENT PORTFOLIOS 3,1104631,2020-12,-22  edgar/data/1104631/0001104659-20-138516.txt,merger/reorg
N-14,SUNAMERICA SERIES TRUST,892538,2020-12,-23  edgar/data/892538/0001193125-20-325668.txt,merger/reorg
N-14,"T. Rowe Price U.S. Large-Cap Core Fund, Inc.",1462712,2020-11,-09  edgar/data/1462712/0001462712-20-000009.txt,merger/reorg
N-14,TOUCHSTONE FUNDS GROUP TRUST,914243,2020-10,-15  edgar/data/914243/0000914243-20-000113.txt,merger/reorg
N-14,TRANSAMERICA FUNDS,787623,2020-11,-04  edgar/data/787623/0001193125-20-285454.txt,merger/reorg
N-14,Trust for Advised Portfolios,1261788,2020-10,-22  edgar/data/1261788/0000894189-20-008447.txt,merger/reorg
N-14,VALIC Co I,719423,2020-11,-20  edgar/data/719423/0001140361-20-026243.txt,merger/reorg
N-14,VALIC Co I,719423,2020-11,-20  edgar/data/719423/0001140361-20-026244.txt,merger/reorg
N-14,VALIC Co I,719423,2020-11,-20  edgar/data/719423/0001140361-20-026246.txt,merger/reorg
N-14,VALIC Co I,719423,2020-11,-20  edgar/data/719423/0001140361-20-026247.txt,merger/reorg
N-14,WELLS FARGO FUNDS TRUST,1081400,2020-11,-30  edgar/data/1081400/0001081400-20-001350.txt,merger/reorg
N-14,WELLS FARGO FUNDS TRUST,1081400,2020-11,-30  edgar/data/1081400/0001081400-20-001351.txt,merger/reorg
N-14,WELLS FARGO FUNDS TRUST,1081400,2020-11,-30  edgar/data/1081400/0001081400-20-001355.txt,merger/reorg
N-14,World Funds Trust,1396092,2020-10,-02  edgar/data/1396092/0001387131-20-008679.txt,merger/reorg
N-14,World Funds Trust,1396092,2020-10,-06  edgar/data/1396092/0001387131-20-008873.txt,merger/reorg
N-14,World Funds Trust,1396092,2020-10,-08  edgar/data/1396092/0001387131-20-008894.txt,merger/reorg
N-14 8C,A&Q Long/Short Strategies Fund LLC,1186641,2020-12,-29  edgar/data/1186641/0001104659-20-140198.txt,merger/reorg
