form,company,cik,date_filed,filing_path,event
N-14,360 Funds,1319067,2020-07,-02  edgar/data/1319067/0001387131-20-006170.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2020-07,-15  edgar/data/814679/0001104659-20-083743.txt,merger/reorg
N-14,Alpha Architect ETF Trust,1592900,2020-07,-31  edgar/data/1592900/0001213900-20-019602.txt,merger/reorg
N-14,BERNSTEIN SANFORD C FUND INC,832808,2020-07,-31  edgar/data/832808/0001193125-20-206673.txt,merger/reorg
N-14,Bernstein Fund Inc,1653463,2020-07,-31  edgar/data/1653463/0001193125-20-206673.txt,merger/reorg
N-14,Bernstein Fund Inc,1653463,2020-08,-05  edgar/data/1653463/0001193125-20-210723.txt,merger/reorg
N-14,DELAWARE GROUP TAX FREE FUND,728352,2020-09,-10  edgar/data/728352/0001137439-20-000793.txt,merger/reorg
N-14,DELAWARE VIP TRUST,814230,2020-09,-10  edgar/data/814230/0001137439-20-000770.txt,merger/reorg
N-14,DIAMOND HILL FUNDS,1032423,2020-07,-23  edgar/data/1032423/0001032423-20-000089.txt,merger/reorg
N-14,Datum One Series Trust,1806095,2020-07,-20  edgar/data/1806095/0001193125-20-195462.txt,merger/reorg
N-14,Datum One Series Trust,1806095,2020-07,-20  edgar/data/1806095/0001193125-20-195466.txt,merger/reorg
N-14,Datum One Series Trust,1806095,2020-08,-20  edgar/data/1806095/0001193125-20-224877.txt,merger/reorg
N-14,Datum One Series Trust,1806095,2020-08,-20  edgar/data/1806095/0001193125-20-224882.txt,merger/reorg
N-14,ETF Series Solutions,1540305,2020-07,-23  edgar/data/1540305/0000894189-20-005586.txt,merger/reorg
N-14,Fidelity Rutland Square Trust II,1364924,2020-08,-04  edgar/data/1364924/0001193125-20-209142.txt,merger/reorg
N-14,GMO TRUST,772129,2020-08,-10  edgar/data/772129/0001104659-20-092851.txt,merger/reorg
N-14,GREAT-WEST FUNDS INC,356476,2020-07,-13  edgar/data/356476/0001193125-20-191198.txt,merger/reorg
N-14,GUINNESS ATKINSON FUNDS,919160,2020-09,-22  edgar/data/919160/0001398344-20-018901.txt,merger/reorg
N-14,Goldman Sachs ETF Trust,1479026,2020-08,-28  edgar/data/1479026/0001193125-20-234377.txt,merger/reorg
N-14,Investment Managers Series Trust,1318342,2020-08,-18  edgar/data/1318342/0001398344-20-016049.txt,merger/reorg
N-14,Investment Managers Series Trust,1318342,2020-09,-24  edgar/data/1318342/0001398344-20-019081.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2020-08,-20  edgar/data/1587982/0001398344-20-016644.txt,merger/reorg
N-14,JOHN HANCOCK INVESTMENT TRUST,22370,2020-07,-01  edgar/data/22370/0001133228-20-004250.txt,merger/reorg
