form,company,cik,date_filed,filing_path,event
N-14,"AB Active ETFs, Inc.",1496608,2023-02,-03  edgar/data/1496608/0000919574-23-000714.txt,merger/reorg
N-14,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUT,UAL  880859,2023-03,-17  edgar/data/880859/0001193125-23-074041.txt,merger/reorg
N-14,AIM INVESTMENT FUNDS (INVESCO INVESTMENT FUNDS),826644,2023-03,-17  edgar/data/826644/0001193125-23-074055.txt,merger/reorg
N-14,Aristotle Funds Series Trust,1959372,2023-01,-17  edgar/data/1959372/0001193125-23-008571.txt,merger/reorg
N-14,Aristotle Funds Series Trust,1959372,2023-01,-17  edgar/data/1959372/0001193125-23-008572.txt,merger/reorg
N-14,Aristotle Funds Series Trust,1959372,2023-01,-17  edgar/data/1959372/0001193125-23-008573.txt,merger/reorg
N-14,COLUMBIA ACORN TRUST,2110,2023-02,-03  edgar/data/2110/0001193125-23-023863.txt,merger/reorg
N-14,Calvert Management Series,319676,2023-01,-27  edgar/data/319676/0001193125-23-017667.txt,merger/reorg
N-14,Capitol Series Trust,1587551,2023-03,-13  edgar/data/1587551/0001580642-23-001482.txt,merger/reorg
N-14,DELAWARE GROUP GOVERNMENT FUND,769220,2023-03,-09  edgar/data/769220/0001680359-23-000081.txt,merger/reorg
N-14,DELAWARE GROUP INCOME FUNDS,27825,2023-03,-09  edgar/data/27825/0001680359-23-000083.txt,merger/reorg
N-14,DELAWARE GROUP LIMITED-TERM GOVERNMENT FUNDS,357059,2023-03,-09  edgar/data/357059/0001680359-23-000085.txt,merger/reorg
N-14,DELAWARE GROUP TAX FREE FUND,728352,2023-03,-09  edgar/data/728352/0001137439-23-000460.txt,merger/reorg
N-14,FIDELITY COVINGTON TRUST,945908,2023-01,-20  edgar/data/945908/0001206774-23-000041.txt,merger/reorg
N-14,Franklin Templeton ETF Trust,1655589,2023-03,-06  edgar/data/1655589/0001680359-23-000064.txt,merger/reorg
N-14,HC CAPITAL TRUST,934563,2023-03,-17  edgar/data/934563/0001104659-23-033787.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2023-02,-08  edgar/data/1587982/0001398344-23-002385.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2023-03,-14  edgar/data/1587982/0001213900-23-019973.txt,merger/reorg
N-14,J.P. Morgan Exchange-Traded Fund Trust,1485894,2023-03,-10  edgar/data/1485894/0001193125-23-067795.txt,merger/reorg
N-14,JANUS INVESTMENT FUND,277751,2023-01,-31  edgar/data/277751/0001193125-23-020428.txt,merger/reorg
N-14,LAZARD FUNDS INC,874964,2023-03,-03  edgar/data/874964/0000930413-23-000964.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2023-03,-13  edgar/data/1469192/0001104659-23-031555.txt,merger/reorg
N-14,MATTHEWS INTERNATIONAL FUNDS,923184,2023-03,-20  edgar/data/923184/0001193125-23-074820.txt,merger/reorg
N-14,NORTHERN LIGHTS FUND TRUST II,1518042,2023-01,-23  edgar/data/1518042/0001580642-23-000320.txt,merger/reorg
N-14,PRUDENTIAL SERIES FUND,711175,2023-03,-27  edgar/data/711175/0001104659-23-037160.txt,merger/reorg
N-14,SPDR SERIES TRUST,1064642,2023-03,-08  edgar/data/1064642/0001193125-23-064434.txt,merger/reorg
N-14,TRUST FOR PROFESSIONAL MANAGERS,1141819,2023-03,-03  edgar/data/1141819/0000894189-23-001816.txt,merger/reorg
N-14,VANGUARD STAR FUNDS,736054,2023-02,-17  edgar/data/736054/0001683863-23-000905.txt,merger/reorg
N-14,VOYAGEUR MUTUAL FUNDS,906236,2023-03,-09  edgar/data/906236/0001137439-23-000462.txt,merger/reorg
N-14,WANGER ADVISORS TRUST,929521,2023-02,-03  edgar/data/929521/0001193125-23-023867.txt,merger/reorg
N-14,WEITZ FUNDS,1257927,2023-01,-11  edgar/data/1257927/0001821268-23-000021.txt,merger/reorg
N-14 8C,Blackstone Private Credit Fund,1803498,2023-02,-10  edgar/data/1803498/0001193125-23-032241.txt,merger/reorg
N-14 8C,"Kayne Anderson Energy Infrastructure Fund, Inc.",1293613,2023-03,-27  edgar/data/1293613/0001213900-23-023252.txt,merger/reorg
N-14 8C,NUVEEN FLOATING RATE INCOME FUND,1276533,2023-01,-31  edgar/data/1276533/0001193125-23-020492.txt,merger/reorg
N-14 8C,Virtus Stone Harbor Emerging Markets Income Fund,1501103,2023-03,-31  edgar/data/1501103/0001104659-23-040078.txt,merger/reorg
N-14 8C,WESTERN ASSET MANAGED MUNICIPALS FUND INC.,886043,2023-03,-17  edgar/data/886043/0001193125-23-074093.txt,merger/reorg
N-14 8C/A,Blackstone Private Credit Fund,1803498,2023-03,-24  edgar/data/1803498/0001193125-23-079224.txt,merger/reorg
N-14 8C/A,"Crescent Capital BDC, Inc.",1633336,2023-01,-19  edgar/data/1633336/0001193125-23-011021.txt,merger/reorg
N-14 8C/A,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,1322436,2023-01,-09  edgar/data/1322436/0000940394-23-000028.txt,merger/reorg
N-14 8C/A,NUVEEN FLOATING RATE INCOME FUND,1276533,2023-03,-22  edgar/data/1276533/0001193125-23-076628.txt,merger/reorg
N-14/A,Aristotle Funds Series Trust,1959372,2023-02,-28  edgar/data/1959372/0001193125-23-051715.txt,merger/reorg
N-14/A,Aristotle Funds Series Trust,1959372,2023-02,-28  edgar/data/1959372/0001193125-23-051717.txt,merger/reorg
N-14/A,Aristotle Funds Series Trust,1959372,2023-02,-28  edgar/data/1959372/0001193125-23-051728.txt,merger/reorg
N-14/A,COLUMBIA ACORN TRUST,2110,2023-02,-09  edgar/data/2110/0001193125-23-029902.txt,merger/reorg
N-14/A,DELAWARE GROUP EQUITY FUNDS IV,778108,2023-01,-30  edgar/data/778108/0001137439-23-000102.txt,merger/reorg
N-14/A,DELAWARE GROUP EQUITY FUNDS V,809821,2023-01,-30  edgar/data/809821/0001137439-23-000103.txt,merger/reorg
N-14/A,DELAWARE VIP TRUST,814230,2023-01,-30  edgar/data/814230/0001137439-23-000105.txt,merger/reorg
N-14/A,Global X Funds,1432353,2023-01,-18  edgar/data/1432353/0001432353-23-000014.txt,merger/reorg
N-14/A,JANUS INVESTMENT FUND,277751,2023-03,-08  edgar/data/277751/0001193125-23-064683.txt,merger/reorg
N-14/A,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,914036,2023-01,-26  edgar/data/914036/0001193125-23-016334.txt,merger/reorg
N-14/A,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,914036,2023-01,-30  edgar/data/914036/0001193125-23-018859.txt,merger/reorg
N-14/A,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,914036,2023-01,-30  edgar/data/914036/0001193125-23-019229.txt,merger/reorg
N-14/A,NORTHERN LIGHTS FUND TRUST II,1518042,2023-03,-13  edgar/data/1518042/0001580642-23-001465.txt,merger/reorg
N-14/A,WANGER ADVISORS TRUST,929521,2023-02,-09  edgar/data/929521/0001193125-23-029911.txt,merger/reorg
N-14/A,WEITZ FUNDS,1257927,2023-02,-10  edgar/data/1257927/0001821268-23-000061.txt,merger/reorg
N-8F,CGM TRUST,60335,2023-03,-24  edgar/data/60335/0000060335-23-000002.txt,deregistration
N-8F,CORNERCAP GROUP OF FUNDS /VA/,789280,2023-02,-07  edgar/data/789280/0001435109-23-000018.txt,deregistration
N-8F,"Center Coast Brookfield Core MLP Fund I, LLC",1521971,2023-02,-02  edgar/data/1521971/0001104659-23-009668.txt,deregistration
N-8F,Destra Targeted Income Unit Investment Trust,1559380,2023-02,-21  edgar/data/1559380/0000894189-23-001211.txt,deregistration
N-8F,Evermore Funds Trust,1472754,2023-02,-22  edgar/data/1472754/0000894189-23-001274.txt,deregistration
N-8F,FEG ABSOLUTE ACCESS FUND LLC,1432122,2023-03,-07  edgar/data/1432122/0001398344-23-005717.txt,deregistration
N-8F,FEG Absolute Access Fund I LLC,1512152,2023-03,-07  edgar/data/1512152/0001398344-23-005710.txt,deregistration
N-8F,LORD ASSET MANAGEMENT TRUST,918949,2023-03,-10  edgar/data/918949/0000894189-23-001954.txt,deregistration
N-8F,ML OF NEW YORK VARIABLE ANNUITY SEPARATE ACCOUNT C,1162329,2023-03,-21  edgar/data/1162329/0001193125-23-075617.txt,deregistration
N-8F,OSI ETF Trust,1672826,2023-01,-13  edgar/data/1672826/0001680359-23-000012.txt,deregistration
N-8F,TORRAY FUND,862696,2023-03,-06  edgar/data/862696/0000894189-23-001838.txt,deregistration
N-8F,UBS RELATIONSHIP FUNDS,944684,2023-03,-10  edgar/data/944684/0001104659-23-031051.txt,deregistration
N-8F,Zell Capital,1809051,2023-02,-24  edgar/data/1809051/0001213900-23-014297.txt,deregistration
N-8F NTC,ANCHOR SERIES TRUST,726735,2023-01,-03  edgar/data/726735/9999999997-23-000008.txt,deregistration
