form,company,cik,date_filed,filing_path,event
N-14,ADVANCED SERIES TRUST,814679,2020-04,-30  edgar/data/814679/0001104659-20-054463.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2020-04,-30  edgar/data/814679/0001104659-20-054466.txt,merger/reorg
N-14,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,1091439,2020-06,-19  edgar/data/1091439/0001091439-20-000007.txt,merger/reorg
N-14,BLACKROCK MULTI STATE MUNICIPAL SERIES TRUST,774013,2020-05,-19  edgar/data/774013/0001193125-20-145255.txt,merger/reorg
N-14,"BNY Mellon Investment Funds V, Inc.",881773,2020-05,-14  edgar/data/881773/0001104659-20-061296.txt,merger/reorg
N-14,Centre Funds,1517238,2020-05,-27  edgar/data/1517238/0001398344-20-011543.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND II,1510337,2020-04,-30  edgar/data/1510337/0001445546-20-002186.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND,1329377,2020-04,-30  edgar/data/1329377/0001445546-20-002188.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND,1329377,2020-04,-30  edgar/data/1329377/0001445546-20-002190.txt,merger/reorg
N-14,GREAT-WEST FUNDS INC,356476,2020-04,-29  edgar/data/356476/0001193125-20-124948.txt,merger/reorg
N-14,HARTFORD SERIES FUND INC,1053425,2020-06,-24  edgar/data/1053425/0001104659-20-076420.txt,merger/reorg
N-14,HEARTLAND GROUP INC,809586,2020-06,-24  edgar/data/809586/0001104659-20-076390.txt,merger/reorg
N-14,HOTCHKIS & WILEY FUNDS /DE/,1145022,2020-05,-15  edgar/data/1145022/0000894189-20-003873.txt,merger/reorg
N-14,MADISON FUNDS,1040612,2020-06,-01  edgar/data/1040612/0001040612-20-000075.txt,merger/reorg
N-14,MADISON FUNDS,1040612,2020-06,-02  edgar/data/1040612/0001040612-20-000077.txt,merger/reorg
N-14,"MANNING & NAPIER FUND, INC.",751173,2020-05,-21  edgar/data/751173/0001387131-20-005062.txt,merger/reorg
N-14,NATIONWIDE VARIABLE INSURANCE TRUST,353905,2020-06,-12  edgar/data/353905/0001794202-20-000341.txt,merger/reorg
N-14,NATIONWIDE VARIABLE INSURANCE TRUST,353905,2020-06,-18  edgar/data/353905/0001680359-20-000328.txt,merger/reorg
N-14,NATIONWIDE VARIABLE INSURANCE TRUST,353905,2020-06,-19  edgar/data/353905/0001680359-20-000330.txt,merger/reorg
N-14,NUVEEN INVESTMENT FUNDS INC,820892,2020-05,-21  edgar/data/820892/0001193125-20-148798.txt,merger/reorg
N-14,NUVEEN INVESTMENT TRUST II,1041673,2020-05,-21  edgar/data/1041673/0001193125-20-148823.txt,merger/reorg
N-14,NUVEEN MUNICIPAL TRUST/MA,1020660,2020-06,-11  edgar/data/1020660/0001193125-20-166648.txt,merger/reorg
N-14,OHIO NATIONAL FUND INC,315754,2020-04,-17  edgar/data/315754/0001683863-20-003845.txt,merger/reorg
N-14,PIONEER SERIES TRUST X,1174520,2020-06,-26  edgar/data/1174520/0001193125-20-180492.txt,merger/reorg
N-14,PRINCIPAL FUNDS INC,898745,2020-05,-13  edgar/data/898745/0000898745-20-000303.txt,merger/reorg
N-14,RMB INVESTORS TRUST,30126,2020-04,-17  edgar/data/30126/0001104659-20-048256.txt,merger/reorg
N-14,SCHWAB INVESTMENTS,869365,2020-04,-14  edgar/data/869365/0001683863-20-003164.txt,merger/reorg
N-14,SCHWAB INVESTMENTS,869365,2020-04,-16  edgar/data/869365/0001683863-20-003560.txt,merger/reorg
N-14,"T. Rowe Price International Funds, Inc.",313212,2020-06,-08  edgar/data/313212/0000313212-20-000124.txt,merger/reorg
N-14,THRIVENT SERIES FUND INC,790166,2020-06,-24  edgar/data/790166/0001193125-20-177566.txt,merger/reorg
N-14,USAA MUTUAL FUNDS TRUST,908695,2020-06,-22  edgar/data/908695/0001683863-20-011165.txt,merger/reorg
N-14,Voya MUTUAL FUNDS,895430,2020-05,-27  edgar/data/895430/0001683863-20-010111.txt,merger/reorg
N-14,Voya MUTUAL FUNDS,895430,2020-06,-04  edgar/data/895430/0001683863-20-010537.txt,merger/reorg
N-14 8C,Flat Rock Capital Credit Fund,1814390,2020-06,-19  edgar/data/1814390/0001213900-20-015295.txt,merger/reorg
N-14 8C,GOLDMAN SACHS MLP & ENERGY RENAISSANCE FUND,1612875,2020-06,-12  edgar/data/1612875/0001193125-20-167719.txt,merger/reorg
N-14 8C/A,Angel Oak Financial Strategies Income Term Trust,1745059,2020-04,-29  edgar/data/1745059/0001193125-20-123745.txt,merger/reorg
N-14/A,"BNY Mellon Investment Funds V, Inc.",881773,2020-06,-22  edgar/data/881773/0001104659-20-075699.txt,merger/reorg
N-14/A,"BNY Mellon Investment Funds V, Inc.",881773,2020-06,-24  edgar/data/881773/0001104659-20-076323.txt,merger/reorg
N-14/A,COLUMBIA FUNDS SERIES TRUST,1097519,2020-04,-14  edgar/data/1097519/0001193125-20-105470.txt,merger/reorg
N-14/A,COLUMBIA FUNDS SERIES TRUST I,773757,2020-04,-14  edgar/data/773757/0001193125-20-105468.txt,merger/reorg
N-14/A,Columbia Funds Series Trust II,1352280,2020-04,-14  edgar/data/1352280/0001193125-20-105469.txt,merger/reorg
N-14/A,GREAT-WEST FUNDS INC,356476,2020-06,-17  edgar/data/356476/0001193125-20-171492.txt,merger/reorg
N-14/A,HARTFORD MUTUAL FUNDS INC/CT,1006415,2020-04,-29  edgar/data/1006415/0001104659-20-053576.txt,merger/reorg
N-14/A,HOTCHKIS & WILEY FUNDS /DE/,1145022,2020-06,-10  edgar/data/1145022/0000894189-20-004497.txt,merger/reorg
N-14/A,Highland Funds I,1354917,2020-05,-21  edgar/data/1354917/0001193125-20-148848.txt,merger/reorg
N-14/A,SCHWAB INVESTMENTS,869365,2020-05,-18  edgar/data/869365/0001193125-20-144254.txt,merger/reorg
N-14/A,SCM Trust,836267,2020-04,-10  edgar/data/836267/0001398344-20-007823.txt,merger/reorg
N-14/A,SCM Trust,836267,2020-04,-10  edgar/data/836267/0001398344-20-007828.txt,merger/reorg
N-14/A,SCM Trust,836267,2020-04,-27  edgar/data/836267/0001398344-20-008456.txt,merger/reorg
N-14/A,SCM Trust,836267,2020-04,-27  edgar/data/836267/0001398344-20-008462.txt,merger/reorg
N-14/A,TRUST FOR PROFESSIONAL MANAGERS,1141819,2020-04,-29  edgar/data/1141819/0000894189-20-003192.txt,merger/reorg
N-14/A,VANGUARD WINDSOR FUNDS,107606,2020-05,-01  edgar/data/107606/0001683863-20-008222.txt,merger/reorg
N-8F,Blackstone Alternative Alpha Fund,1535091,2020-06,-11  edgar/data/1535091/0001193125-20-166639.txt,deregistration
N-8F,Blackstone Alternative Alpha Fund II,1566814,2020-06,-11  edgar/data/1566814/0001193125-20-166640.txt,deregistration
N-8F,Blackstone Alternative Alpha Master Fund,1535092,2020-06,-11  edgar/data/1535092/0001193125-20-166646.txt,deregistration
N-8F,CAPITAL GROUP EMERGING MARKETS TOTAL OPPORTUNITIES FUND,1527972,2020-04,-27  edgar/data/1527972/0000051931-20-000263.txt,deregistration
N-8F,Cushing ETF Trust,1742910,2020-06,-12  edgar/data/1742910/0000894189-20-004552.txt,deregistration
N-8F,Cushing Energy Income Fund,1526629,2020-06,-01  edgar/data/1526629/0000894189-20-004247.txt,deregistration
N-8F,Entoro Gray Swan Fund,1808251,2020-05,-21  edgar/data/1808251/0001493152-20-009600.txt,deregistration
N-8F,Hartford Funds Master Fund,1698894,2020-05,-15  edgar/data/1698894/0001104659-20-062150.txt,deregistration
N-8F,"MILES FUNDS, INC.",934348,2020-05,-14  edgar/data/934348/0000870156-20-000021.txt,deregistration
N-8F,NEXPOINT HEALTHCARE OPPORTUNITIES FUND,1668234,2020-04,-24  edgar/data/1668234/0001683863-20-005199.txt,deregistration
N-8F,Nuveen All Cap Energy MLP Opportunities Fund,1582817,2020-06,-23  edgar/data/1582817/0001137439-20-000626.txt,deregistration
N-8F,Nuveen Energy MLP Total Return Fund,1502711,2020-06,-23  edgar/data/1502711/0001137439-20-000624.txt,deregistration
N-8F,Nuveen Impact Bond 2025 Term Fund,1737092,2020-06,-12  edgar/data/1737092/0001137439-20-000611.txt,deregistration
N-8F,OPPENHEIMER CAPITAL APPRECIATION FUND,319767,2020-05,-04  edgar/data/319767/0001597123-20-000055.txt,deregistration
N-8F,OPPENHEIMER CAPITAL INCOME FUND,45156,2020-05,-04  edgar/data/45156/0001597123-20-000050.txt,deregistration
N-8F,OPPENHEIMER DEVELOPING MARKETS FUND,1015986,2020-05,-04  edgar/data/1015986/0001597123-20-000056.txt,deregistration
N-8F,OPPENHEIMER DIVIDEND OPPORTUNITY FUND,1191290,2020-05,-04  edgar/data/1191290/0001597123-20-000057.txt,deregistration
N-8F,OPPENHEIMER GLOBAL FUND,74658,2020-05,-04  edgar/data/74658/0001597123-20-000061.txt,deregistration
N-8F,OPPENHEIMER GLOBAL OPPORTUNITIES FUND,861457,2020-05,-04  edgar/data/861457/0001597123-20-000062.txt,deregistration
N-8F,OPPENHEIMER GLOBAL STRATEGIC INCOME FUND,850134,2020-05,-04  edgar/data/850134/0001597123-20-000069.txt,deregistration
N-8F,OPPENHEIMER GOLD & SPECIAL MINERALS FUND,716836,2020-05,-04  edgar/data/716836/0001597123-20-000053.txt,deregistration
N-8F,OPPENHEIMER INTEGRITY FUNDS,701265,2020-04,-30  edgar/data/701265/0001597123-20-000022.txt,deregistration
N-8F,OPPENHEIMER INTERNATIONAL BOND FUND,939800,2020-05,-04  edgar/data/939800/0001597123-20-000070.txt,deregistration
N-8F,OPPENHEIMER INTERNATIONAL EQUITY FUND,863250,2020-05,-04  edgar/data/863250/0001597123-20-000063.txt,deregistration
N-8F,OPPENHEIMER INTERNATIONAL GROWTH FUND,1005728,2020-05,-04  edgar/data/1005728/0001597123-20-000064.txt,deregistration
N-8F,OPPENHEIMER QUEST FOR VALUE FUNDS,817982,2020-05,-04  edgar/data/817982/0001597123-20-000054.txt,deregistration
N-8F,OPPENHEIMER SENIOR FLOATING RATE FUND,1087774,2020-05,-04  edgar/data/1087774/0001597123-20-000073.txt,deregistration
N-8F,OPPENHEIMER SENIOR FLOATING RATE PLUS FUND,1577111,2020-05,-04  edgar/data/1577111/0001597123-20-000074.txt,deregistration
N-8F,OPPENHEIMER VARIABLE ACCOUNT FUNDS,752737,2020-05,-04  edgar/data/752737/0001597123-20-000066.txt,deregistration
N-8F,Oppenheimer ETF Trust,1384032,2020-05,-04  edgar/data/1384032/0001597123-20-000059.txt,deregistration
N-8F,Oppenheimer Emerging Markets Innovators Fund,1600584,2020-05,-04  edgar/data/1600584/0001597123-20-000058.txt,deregistration
N-8F,Oppenheimer Emerging Markets Local Debt Fund,1488175,2020-05,-04  edgar/data/1488175/0001597123-20-000067.txt,deregistration
N-8F,Oppenheimer Global Focus Fund,1405969,2020-05,-04  edgar/data/1405969/0001597123-20-000060.txt,deregistration
N-8F,Oppenheimer Global High Yield Fund,1530245,2020-05,-04  edgar/data/1530245/0001597123-20-000068.txt,deregistration
N-8F,Oppenheimer Global Multi-Asset Growth Fund,1640924,2020-05,-04  edgar/data/1640924/0001597123-20-000051.txt,deregistration
N-8F,Oppenheimer Global Multi-Asset Income Fund,1617762,2020-05,-04  edgar/data/1617762/0001597123-20-000052.txt,deregistration
N-8F,Oppenheimer Macquarie Global Infrastructure Fund,1665789,2020-05,-04  edgar/data/1665789/0001597123-20-000071.txt,deregistration
