form,company,cik,date_filed,filing_path,event
N-14,"AB Active ETFs, Inc.",1496608,2026-06,-26  edgar/data/1496608/0000919574-26-004138.txt,merger/reorg
N-14,ARBITRAGE FUNDS,1105076,2026-06,-22  edgar/data/1105076/0001104659-26-076370.txt,merger/reorg
N-14,BlackRock ETF Trust,1761055,2026-05,-28  edgar/data/1761055/0001193125-26-245314.txt,merger/reorg
N-14,CARILLON SERIES TRUST,897111,2026-05,-14  edgar/data/897111/0000898432-26-000380.txt,merger/reorg
N-14,Calamos ETF Trust,1579881,2026-06,-01  edgar/data/1579881/0001104659-26-068720.txt,merger/reorg
N-14,Cohen & Steers ETF Trust,1590402,2026-04,-02  edgar/data/1590402/0001193125-26-139944.txt,merger/reorg
N-14,EA Series Trust,1592900,2026-04,-14  edgar/data/1592900/0001592900-26-001600.txt,merger/reorg
N-14,Goldman Sachs ETF Trust,1479026,2026-04,-28  edgar/data/1479026/0001193125-26-183131.txt,merger/reorg
N-14,JOHN HANCOCK VARIABLE INSURANCE TRUST,756913,2026-06,-29  edgar/data/756913/0001193125-26-288382.txt,merger/reorg
N-14,Lazard Active ETF Trust,2051630,2026-06,-30  edgar/data/2051630/0000930413-26-001999.txt,merger/reorg
N-14,NORTHERN LIGHTS FUND TRUST II,1518042,2026-04,-10  edgar/data/1518042/0001580642-26-002456.txt,merger/reorg
N-14,Nomura ETF Trust II,809064,2026-05,-26  edgar/data/809064/0002071844-26-000593.txt,merger/reorg
N-14,PGIM ETF TRUST,1727074,2026-06,-29  edgar/data/1727074/0001104659-26-078948.txt,merger/reorg
N-14,PUTNAM DIVERSIFIED INCOME TRUST,836622,2026-06,-10  edgar/data/836622/0001193125-26-265974.txt,merger/reorg
N-14,PUTNAM INVESTMENT FUNDS,932101,2026-06,-02  edgar/data/932101/0001193125-26-253878.txt,merger/reorg
N-14,PUTNAM VARIABLE TRUST,822671,2026-06,-02  edgar/data/822671/0001193125-26-253889.txt,merger/reorg
N-14,Putnam ETF Trust,1845809,2026-05,-01  edgar/data/1845809/0001193125-26-201141.txt,merger/reorg
N-14,RBB Fund Trust,1618627,2026-04,-20  edgar/data/1618627/0001398344-26-006737.txt,merger/reorg
N-14,TCW ETF Trust,1831313,2026-04,-01  edgar/data/1831313/0001829126-26-003038.txt,merger/reorg
N-14,Virtus ETF Trust II,1648403,2026-05,-14  edgar/data/1648403/0001999371-26-010713.txt,merger/reorg
N-14,Voya PARTNERS INC,1039001,2026-04,-14  edgar/data/1039001/0001039001-26-000009.txt,merger/reorg
N-14,Voya VARIABLE PORTFOLIOS INC,1015965,2026-04,-14  edgar/data/1015965/0001193125-26-155020.txt,merger/reorg
N-14,William Blair ETF Trust,2137497,2026-06,-25  edgar/data/2137497/0001193125-26-283076.txt,merger/reorg
N-14 8C,Apollo Debt Solutions BDC,1837532,2026-05,-11  edgar/data/1837532/0001193125-26-217178.txt,merger/reorg
N-14 8C,FIDUS INVESTMENT Corp,1513363,2026-06,-30  edgar/data/1513363/0001193125-26-290483.txt,merger/reorg
