form,company,cik,date_filed,filing_path,event
N-14,AMERICAN PENSION INVESTORS TRUST,764859,2018-02,-02  edgar/data/764859/0001193125-18-030902.txt,merger/reorg
N-14,Aberdeen Funds,1413594,2018-01,-26  edgar/data/1413594/0001104659-18-004307.txt,merger/reorg
N-14,CAPITAL MANAGEMENT INVESTMENT TRUST,931491,2018-02,-09  edgar/data/931491/0001398344-18-001882.txt,merger/reorg
N-14,Chartwell Funds,1697268,2018-01,-26  edgar/data/1697268/0001398344-18-001015.txt,merger/reorg
N-14,DREYFUS PREMIER WORLDWIDE GROWTH FUND INC,897569,2018-02,-22  edgar/data/897569/0001144204-18-010300.txt,merger/reorg
N-14,EATON VANCE MUTUAL FUNDS TRUST,745463,2018-01,-30  edgar/data/745463/0000940394-18-000172.txt,merger/reorg
N-14,Exchange Listed Funds Trust,1547950,2018-03,-07  edgar/data/1547950/0001398344-18-003727.txt,merger/reorg
N-14,FRANK FUNDS,1281790,2018-03,-13  edgar/data/1281790/0001162044-18-000182.txt,merger/reorg
N-14,JOHN HANCOCK VARIABLE INSURANCE TRUST,756913,2018-01,-17  edgar/data/756913/0001133228-18-000369.txt,merger/reorg
N-14,LAZARD FUNDS INC,874964,2018-03,-08  edgar/data/874964/0000930413-18-000851.txt,merger/reorg
N-14,LORD ABBETT INVESTMENT TRUST,911507,2018-03,-27  edgar/data/911507/0000930413-18-001095.txt,merger/reorg
N-14,M3Sixty Funds Trust,1643838,2018-03,-02  edgar/data/1643838/0001387131-18-000894.txt,merger/reorg
N-14,MORGAN STANLEY INSTITUTIONAL FUND TRUST,741375,2018-02,-09  edgar/data/741375/0001104659-18-008010.txt,merger/reorg
N-14,NUVEEN INVESTMENT TRUST,1013881,2018-03,-22  edgar/data/1013881/0001193125-18-092050.txt,merger/reorg
N-14,NUVEEN INVESTMENT TRUST,1013881,2018-03,-22  edgar/data/1013881/0001193125-18-092071.txt,merger/reorg
N-14,PACIFIC SELECT FUND,813900,2018-03,-27  edgar/data/813900/0001398344-18-004781.txt,merger/reorg
N-14,PUTNAM FUNDS TRUST,1005942,2018-02,-08  edgar/data/1005942/0000928816-18-000292.txt,merger/reorg
N-14,PUTNAM U S GOVERNMENT INCOME TRUST,732337,2018-02,-12  edgar/data/732337/0000928816-18-000312.txt,merger/reorg
N-14,Pear Tree Funds,722885,2018-03,-16  edgar/data/722885/0001144204-18-015355.txt,merger/reorg
N-14,RUSSELL INVESTMENT CO,351601,2018-01,-30  edgar/data/351601/0001193125-18-025540.txt,merger/reorg
N-14,SCM Trust,836267,2018-03,-13  edgar/data/836267/0001398344-18-004150.txt,merger/reorg
N-14,SCM Trust,836267,2018-03,-13  edgar/data/836267/0001398344-18-004154.txt,merger/reorg
N-14,TEMPLETON GLOBAL SMALLER COMPANIES FUND,350900,2018-01,-18  edgar/data/350900/0000350900-18-000006.txt,merger/reorg
N-14,THRIVENT MUTUAL FUNDS,811869,2018-03,-29  edgar/data/811869/0001193125-18-101485.txt,merger/reorg
N-14,THRIVENT SERIES FUND INC,790166,2018-03,-29  edgar/data/790166/0001193125-18-101482.txt,merger/reorg
N-14,UNIFIED SERIES TRUST,1199046,2018-01,-26  edgar/data/1199046/0001193125-18-021002.txt,merger/reorg
N-14,USAA MUTUAL FUNDS TRUST,908695,2018-03,-09  edgar/data/908695/0001683863-18-000052.txt,merger/reorg
N-14,VALUED ADVISERS TRUST,1437249,2018-02,-26  edgar/data/1437249/0001193125-18-058520.txt,merger/reorg
N-14 8C,FIRST TRUST HIGH INCOME LONG/SHORT FUND,1494530,2018-03,-20  edgar/data/1494530/0001445546-18-001467.txt,merger/reorg
N-14 8C,Kayne Anderson MLP Investment CO,1293613,2018-03,-20  edgar/data/1293613/0001193125-18-089260.txt,merger/reorg
N-14 8C,Nuveen Build America Bond Fund,1478888,2018-03,-20  edgar/data/1478888/0001193125-18-089340.txt,merger/reorg
N-14 8C/A,"ABERDEEN CHILE FUND, INC.",846676,2018-01,-26  edgar/data/846676/0001104659-18-004294.txt,merger/reorg
N-14 8C/A,"ABERDEEN CHILE FUND, INC.",846676,2018-02,-12  edgar/data/846676/0001104659-18-008502.txt,merger/reorg
N-14 8C/A,"ABERDEEN CHILE FUND, INC.",846676,2018-02,-15  edgar/data/846676/0001104659-18-010046.txt,merger/reorg
