form,company,cik,date_filed,filing_path,event
N-14,"AB Active ETFs, Inc.",1496608,2024-11,-18  edgar/data/1496608/0000919574-24-006832.txt,merger/reorg
N-14,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUT,UAL  880859,2024-11,-01  edgar/data/880859/0001193125-24-249958.txt,merger/reorg
N-14,AMERICAN BEACON SELECT FUNDS,1096012,2024-12,-18  edgar/data/1096012/0001133228-24-011315.txt,merger/reorg
N-14,"BNY Mellon Absolute Insight Funds, Inc.",1635295,2024-11,-12  edgar/data/1635295/0001137439-24-001489.txt,merger/reorg
N-14,Brighthouse Funds Trust I,1126087,2024-11,-22  edgar/data/1126087/0001193125-24-264242.txt,merger/reorg
N-14,DFA INVESTMENT DIMENSIONS GROUP INC,355437,2024-11,-19  edgar/data/355437/0001137439-24-001516.txt,merger/reorg
N-14,Destra Investment Trust,1492374,2024-10,-04  edgar/data/1492374/0001829126-24-006651.txt,merger/reorg
N-14,EA Series Trust,1592900,2024-11,-27  edgar/data/1592900/0001592900-24-002426.txt,merger/reorg
N-14,FIDELITY ABERDEEN STREET TRUST,880195,2024-10,-01  edgar/data/880195/0001133228-24-009245.txt,merger/reorg
N-14,FIDELITY FINANCIAL TRUST,708191,2024-12,-20  edgar/data/708191/0001133228-24-011369.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND VIII,1667919,2024-11,-26  edgar/data/1667919/0001445546-24-008115.txt,merger/reorg
N-14,Fidelity Merrimack Street Trust,1562565,2024-11,-15  edgar/data/1562565/0001133228-24-010291.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2024-12,-18  edgar/data/933691/0000933691-24-000496.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2024-12,-18  edgar/data/933691/0000933691-24-000499.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2024-12,-18  edgar/data/933691/0000933691-24-000502.txt,merger/reorg
N-14,JOHN HANCOCK BOND TRUST,315554,2024-10,-08  edgar/data/315554/0001193125-24-234445.txt,merger/reorg
N-14,JOHN HANCOCK BOND TRUST,315554,2024-10,-08  edgar/data/315554/0001193125-24-234454.txt,merger/reorg
N-14,JOHN HANCOCK BOND TRUST,315554,2024-11,-08  edgar/data/315554/0001193125-24-254139.txt,merger/reorg
N-14,Manager Directed Portfolios,1359057,2024-12,-12  edgar/data/1359057/0000894189-24-007234.txt,merger/reorg
N-14,NATIONWIDE MUTUAL FUNDS,1048702,2024-11,-01  edgar/data/1048702/0001680359-24-000386.txt,merger/reorg
N-14,NATIONWIDE VARIABLE INSURANCE TRUST,353905,2024-11,-01  edgar/data/353905/0001680359-24-000392.txt,merger/reorg
N-14,PRUDENTIAL INVESTMENT PORTFOLIOS 5,1090155,2024-10,-25  edgar/data/1090155/0001104659-24-111324.txt,merger/reorg
N-14,SEASONS SERIES TRUST,1003239,2024-12,-17  edgar/data/1003239/0001193125-24-280380.txt,merger/reorg
N-14,SEASONS SERIES TRUST,1003239,2024-12,-17  edgar/data/1003239/0001193125-24-280386.txt,merger/reorg
N-14,SEASONS SERIES TRUST,1003239,2024-12,-17  edgar/data/1003239/0001193125-24-280395.txt,merger/reorg
N-14,SEASONS SERIES TRUST,1003239,2024-12,-17  edgar/data/1003239/0001193125-24-280403.txt,merger/reorg
N-14,SEASONS SERIES TRUST,1003239,2024-12,-17  edgar/data/1003239/0001193125-24-280415.txt,merger/reorg
N-14,SUNAMERICA SERIES TRUST,892538,2024-12,-17  edgar/data/892538/0001193125-24-280415.txt,merger/reorg
N-14,SUNAMERICA SERIES TRUST,892538,2024-12,-17  edgar/data/892538/0001193125-24-280426.txt,merger/reorg
N-14,TIAA-CREF FUNDS,1084380,2024-10,-11  edgar/data/1084380/0001193125-24-236104.txt,merger/reorg
N-14,TIAA-CREF FUNDS,1084380,2024-10,-11  edgar/data/1084380/0001193125-24-236107.txt,merger/reorg
N-14,Tidal Trust III,1722388,2024-10,-10  edgar/data/1722388/0001999371-24-013210.txt,merger/reorg
N-14,Victory Portfolios IV,2042316,2024-12,-12  edgar/data/2042316/0001683863-24-009074.txt,merger/reorg
N-14,Victory Portfolios IV,2042316,2024-12,-18  edgar/data/2042316/0001683863-24-009294.txt,merger/reorg
N-14,Victory Variable Insurance Funds II,2042317,2024-12,-12  edgar/data/2042317/0001683863-24-009075.txt,merger/reorg
N-14 8C,Apollo Debt Solutions BDC,1837532,2024-11,-22  edgar/data/1837532/0001193125-24-264303.txt,merger/reorg
N-14 8C,"BLACKROCK INCOME TRUST, INC.",832327,2024-12,-30  edgar/data/832327/0001193125-24-286891.txt,merger/reorg
N-14 8C,Blue Owl Technology Finance Corp.,1747777,2024-11,-22  edgar/data/1747777/0001628280-24-048969.txt,merger/reorg
N-14 8C,Blue Owl Technology Finance Corp. II,1889668,2024-11,-01  edgar/data/1889668/0001628280-24-044780.txt,merger/reorg
N-14 8C,"Carlyle Secured Lending, Inc.",1544206,2024-10,-07  edgar/data/1544206/0001193125-24-233868.txt,merger/reorg
N-14 8C,HPS Corporate Lending Fund,1838126,2024-12,-09  edgar/data/1838126/0001193125-24-273170.txt,merger/reorg
