form,company,cik,date_filed,filing_path,event
N-14,360 Funds,1319067,2024-06,-21  edgar/data/1319067/0001999371-24-007687.txt,merger/reorg
N-14,ALLSPRING FUNDS TRUST,1081400,2024-06,-03  edgar/data/1081400/0001081400-24-000348.txt,merger/reorg
N-14,ALLSPRING FUNDS TRUST,1081400,2024-06,-07  edgar/data/1081400/0001081400-24-000353.txt,merger/reorg
N-14,ALLSPRING FUNDS TRUST,1081400,2024-06,-10  edgar/data/1081400/0001081400-24-000357.txt,merger/reorg
N-14,BlackRock ETF Trust,1761055,2024-04,-17  edgar/data/1761055/0001193125-24-099199.txt,merger/reorg
N-14,BlackRock Funds III,893818,2024-05,-22  edgar/data/893818/0001193125-24-144870.txt,merger/reorg
N-14,BlackRock Funds III,893818,2024-05,-22  edgar/data/893818/0001193125-24-144873.txt,merger/reorg
N-14,BlackRock Funds III,893818,2024-05,-22  edgar/data/893818/0001193125-24-144878.txt,merger/reorg
N-14,CANTOR SELECT PORTFOLIOS TRUST,1903606,2024-04,-17  edgar/data/1903606/0001580642-24-002183.txt,merger/reorg
N-14,CHARLES SCHWAB FAMILY OF FUNDS,857156,2024-06,-13  edgar/data/857156/0001104659-24-071163.txt,merger/reorg
N-14,Cavanal Hill Funds,864508,2024-06,-14  edgar/data/864508/0001213900-24-052733.txt,merger/reorg
N-14,Exchange Listed Funds Trust,1547950,2024-05,-02  edgar/data/1547950/0001213900-24-039217.txt,merger/reorg
N-14,FIDELITY INVESTMENT TRUST,744822,2024-04,-04  edgar/data/744822/0001193125-24-086973.txt,merger/reorg
N-14,FIDELITY SUMMER STREET TRUST,225322,2024-04,-04  edgar/data/225322/0001193125-24-087068.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND,1329377,2024-06,-07  edgar/data/1329377/0001445546-24-004213.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND,1329377,2024-06,-07  edgar/data/1329377/0001445546-24-004215.txt,merger/reorg
