form,company,cik,date_filed,filing_path,event
N-14,AIM COUNSELOR SERIES TRUST (INVESCO COUNSELOR SERIES TRUS,T)   1112996,2020-01,-24  edgar/data/1112996/0001193125-20-014286.txt,merger/reorg
N-14,AIM GROWTH SERIES (INVESCO GROWTH SERIES),202032,2020-01,-24  edgar/data/202032/0001193125-20-014307.txt,merger/reorg
N-14,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUT,UAL  880859,2020-01,-24  edgar/data/880859/0001193125-20-014301.txt,merger/reorg
N-14,AIM INVESTMENT FUNDS (INVESCO INVESTMENT FUNDS),826644,2020-01,-24  edgar/data/826644/0001193125-20-014316.txt,merger/reorg
N-14,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECUR,ITI  842790,2020-01,-24  edgar/data/842790/0001193125-20-014319.txt,merger/reorg
N-14,AIM SECTOR FUNDS (INVESCO SECTOR FUNDS),725781,2020-01,-24  edgar/data/725781/0001193125-20-014292.txt,merger/reorg
N-14,AIM SECTOR FUNDS (INVESCO SECTOR FUNDS),725781,2020-01,-24  edgar/data/725781/0001193125-20-014305.txt,merger/reorg
N-14,AIM TAX-EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),909466,2020-01,-24  edgar/data/909466/0001193125-20-014311.txt,merger/reorg
N-14,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE,FUN  896435,2020-01,-24  edgar/data/896435/0001193125-20-014293.txt,merger/reorg
N-14,AQUILA MUNICIPAL TRUST,784056,2020-01,-17  edgar/data/784056/0000784056-20-000012.txt,merger/reorg
N-14,AXA PREMIER VIP TRUST,1160168,2020-02,-26  edgar/data/1160168/0001193125-20-049516.txt,merger/reorg
N-14,BLACKROCK MULTI STATE MUNICIPAL SERIES TRUST,774013,2020-01,-07  edgar/data/774013/0001193125-20-003081.txt,merger/reorg
N-14,COLUMBIA ACORN TRUST,2110,2020-02,-28  edgar/data/2110/0001193125-20-056786.txt,merger/reorg
N-14,COLUMBIA ACORN TRUST,2110,2020-03,-06  edgar/data/2110/0001193125-20-065236.txt,merger/reorg
N-14,COLUMBIA FUNDS SERIES TRUST,1097519,2020-02,-26  edgar/data/1097519/0001193125-20-049522.txt,merger/reorg
N-14,COLUMBIA FUNDS SERIES TRUST I,773757,2020-02,-26  edgar/data/773757/0001193125-20-049536.txt,merger/reorg
N-14,Columbia Funds Series Trust II,1352280,2020-02,-25  edgar/data/1352280/0001193125-20-048502.txt,merger/reorg
N-14,Columbia Funds Series Trust II,1352280,2020-02,-26  edgar/data/1352280/0001193125-20-049548.txt,merger/reorg
N-14,EQ ADVISORS TRUST,1027263,2020-02,-26  edgar/data/1027263/0001193125-20-049494.txt,merger/reorg
N-14,FIDELITY PURITAN TRUST,81205,2020-02,-07  edgar/data/81205/0001193125-20-027972.txt,merger/reorg
N-14,HARBOR FUNDS,793769,2020-03,-02  edgar/data/793769/0001193125-20-059115.txt,merger/reorg
N-14,HARBOR FUNDS,793769,2020-03,-30  edgar/data/793769/0001193125-20-089946.txt,merger/reorg
N-14,HARTFORD MUTUAL FUNDS INC/CT,1006415,2020-03,-18  edgar/data/1006415/0001104659-20-035111.txt,merger/reorg
N-14,HC CAPITAL TRUST,934563,2020-01,-14  edgar/data/934563/0001193125-20-007137.txt,merger/reorg
N-14,Invesco Management Trust,1605283,2020-01,-24  edgar/data/1605283/0001193125-20-014325.txt,merger/reorg
N-14,Investment Managers Series Trust,1318342,2020-03,-18  edgar/data/1318342/0001398344-20-006167.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2020-01,-06  edgar/data/1469192/0001104659-20-001414.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2020-01,-06  edgar/data/1469192/0001104659-20-001415.txt,merger/reorg
N-14,NATIONWIDE MUTUAL FUNDS,1048702,2020-03,-20  edgar/data/1048702/0001680359-20-000076.txt,merger/reorg
N-14,NATIONWIDE MUTUAL FUNDS,1048702,2020-03,-20  edgar/data/1048702/0001680359-20-000081.txt,merger/reorg
N-14,NORTHERN LIGHTS FUND TRUST III,1537140,2020-01,-10  edgar/data/1537140/0001580642-20-000185.txt,merger/reorg
N-14,PIMCO VARIABLE INSURANCE TRUST,1047304,2020-03,-03  edgar/data/1047304/0001193125-20-060476.txt,merger/reorg
N-14,PUTNAM FUNDS TRUST,1005942,2020-01,-10  edgar/data/1005942/0000928816-20-000022.txt,merger/reorg
N-14,PUTNAM FUNDS TRUST,1005942,2020-01,-10  edgar/data/1005942/0000928816-20-000023.txt,merger/reorg
N-14,Reality Shares ETF Trust,1573496,2020-01,-16  edgar/data/1573496/0001104659-20-004807.txt,merger/reorg
N-14,SCHRODER SERIES TRUST,908802,2020-03,-30  edgar/data/908802/0001398344-20-007144.txt,merger/reorg
N-14,SCM Trust,836267,2020-02,-14  edgar/data/836267/0001398344-20-003614.txt,merger/reorg
N-14,SCM Trust,836267,2020-02,-14  edgar/data/836267/0001398344-20-003619.txt,merger/reorg
N-14,TRUST FOR PROFESSIONAL MANAGERS,1141819,2020-03,-10  edgar/data/1141819/0000894189-20-001854.txt,merger/reorg
N-14,VANGUARD WINDSOR FUNDS,107606,2020-03,-23  edgar/data/107606/0001683863-20-000719.txt,merger/reorg
N-14 8C,Angel Oak Financial Strategies Income Term Trust,1745059,2020-02,-18  edgar/data/1745059/0001193125-20-040678.txt,merger/reorg
N-14 8C,CUSHING MLP & INFRASTRUCTURE TOTAL RETURN FUND,1400897,2020-01,-31  edgar/data/1400897/0000894189-20-000912.txt,merger/reorg
N-14 8C,"Goldman Sachs BDC, Inc.",1572694,2020-01,-08  edgar/data/1572694/0001193125-20-003957.txt,merger/reorg
N-14 8C/A,CUSHING MLP & INFRASTRUCTURE TOTAL RETURN FUND,1400897,2020-03,-03  edgar/data/1400897/0000894189-20-001761.txt,merger/reorg
N-14 8C/A,Goldman Sachs Credit Income Fund,1796233,2020-02,-19  edgar/data/1796233/0001193125-20-041995.txt,merger/reorg
N-14 8C/A,Goldman Sachs Real Estate Diversified Income Fund,1796242,2020-02,-19  edgar/data/1796242/0001193125-20-041999.txt,merger/reorg
N-14/A,AIM COUNSELOR SERIES TRUST (INVESCO COUNSELOR SERIES TRUS,T)   1112996,2020-02,-20  edgar/data/1112996/0001193125-20-043502.txt,merger/reorg
N-14/A,AIM GROWTH SERIES (INVESCO GROWTH SERIES),202032,2020-02,-20  edgar/data/202032/0001193125-20-043545.txt,merger/reorg
N-14/A,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUT,UAL  880859,2020-02,-20  edgar/data/880859/0001193125-20-043535.txt,merger/reorg
N-14/A,AIM INVESTMENT FUNDS (INVESCO INVESTMENT FUNDS),826644,2020-02,-20  edgar/data/826644/0001193125-20-043563.txt,merger/reorg
N-14/A,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECUR,ITI  842790,2020-02,-20  edgar/data/842790/0001193125-20-043569.txt,merger/reorg
N-14/A,AIM SECTOR FUNDS (INVESCO SECTOR FUNDS),725781,2020-02,-20  edgar/data/725781/0001193125-20-043533.txt,merger/reorg
N-14/A,AIM TAX-EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),909466,2020-02,-20  edgar/data/909466/0001193125-20-043555.txt,merger/reorg
N-14/A,BLACKROCK MULTI STATE MUNICIPAL SERIES TRUST,774013,2020-02,-20  edgar/data/774013/0001193125-20-042157.txt,merger/reorg
N-14/A,CUSHING MLP & INFRASTRUCTURE TOTAL RETURN FUND,1400897,2020-03,-02  edgar/data/1400897/0000894189-20-001710.txt,merger/reorg
N-14/A,FS Series Trust,1691167,2020-01,-14  edgar/data/1691167/0001104659-20-003742.txt,merger/reorg
N-14/A,FS Series Trust,1691167,2020-01,-31  edgar/data/1691167/0001104659-20-009377.txt,merger/reorg
N-14/A,FS Series Trust,1691167,2020-02,-13  edgar/data/1691167/0001104659-20-019540.txt,merger/reorg
N-14/A,HEARTLAND GROUP INC,809586,2020-02,-05  edgar/data/809586/0001104659-20-011273.txt,merger/reorg
N-14/A,Highland Funds I,1354917,2020-02,-21  edgar/data/1354917/0001193125-20-044527.txt,merger/reorg
N-14/A,Invesco Management Trust,1605283,2020-02,-20  edgar/data/1605283/0001193125-20-043576.txt,merger/reorg
N-14/A,MAINSTAY FUNDS TRUST,1469192,2020-03,-02  edgar/data/1469192/0001104659-20-027552.txt,merger/reorg
