form,company,cik,date_filed,filing_path,event
N-14,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE,FUN  896435,2023-09,-21  edgar/data/896435/0001193125-23-239717.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-07,-13  edgar/data/1970751/0000894189-23-004725.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-09,-27  edgar/data/1970751/0000894189-23-007235.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-09,-29  edgar/data/1970751/0000894189-23-007387.txt,merger/reorg
N-14,Amplify ETF Trust,1633061,2023-07,-26  edgar/data/1633061/0001213900-23-060069.txt,merger/reorg
N-14,BISHOP STREET FUNDS,925737,2023-09,-13  edgar/data/925737/0001398344-23-018006.txt,merger/reorg
N-14,"BLACKROCK LARGE CAP FOCUS GROWTH FUND, INC.",1097293,2023-08,-07  edgar/data/1097293/0001193125-23-205013.txt,merger/reorg
N-14,"BlackRock Variable Series Funds, Inc.",355916,2023-08,-07  edgar/data/355916/0001193125-23-205002.txt,merger/reorg
N-14,CENTAUR MUTUAL FUNDS TRUST,1295908,2023-08,-02  edgar/data/1295908/0001580642-23-003969.txt,merger/reorg
N-14,EQ ADVISORS TRUST,1027263,2023-07,-20  edgar/data/1027263/0001193125-23-190404.txt,merger/reorg
N-14,ETF Series Solutions,1540305,2023-07,-28  edgar/data/1540305/0000894189-23-005207.txt,merger/reorg
N-14,FIDELITY COVINGTON TRUST,945908,2023-08,-18  edgar/data/945908/0001193125-23-215546.txt,merger/reorg
N-14,FundX Investment Trust,1602508,2023-08,-15  edgar/data/1602508/0000894189-23-005621.txt,merger/reorg
N-14,FundX Investment Trust,1602508,2023-08,-25  edgar/data/1602508/0000894189-23-006218.txt,merger/reorg
N-14,Hartford Funds Exchange-Traded Trust,1501825,2023-07,-12  edgar/data/1501825/0001193125-23-185839.txt,merger/reorg
N-14,JOHCM Funds Trust,1830437,2023-07,-14  edgar/data/1830437/0001193125-23-187213.txt,merger/reorg
N-14,JOHNSON MUTUAL FUNDS TRUST,892657,2023-07,-06  edgar/data/892657/0001104659-23-078782.txt,merger/reorg
N-14,Manager Directed Portfolios,1359057,2023-09,-06  edgar/data/1359057/0000894189-23-006893.txt,merger/reorg
N-14,Neuberger Berman ETF Trust,1506001,2023-09,-19  edgar/data/1506001/0000898432-23-000673.txt,merger/reorg
N-14,PRUDENTIAL SERIES FUND,711175,2023-09,-26  edgar/data/711175/0001104659-23-103913.txt,merger/reorg
N-14,Pear Tree Funds,722885,2023-08,-15  edgar/data/722885/0001104659-23-091868.txt,merger/reorg
N-14,QUAKER INVESTMENT TRUST,870355,2023-07,-07  edgar/data/870355/0001398344-23-012799.txt,merger/reorg
N-14,Segall Bryant & Hamill Trust,357204,2023-09,-15  edgar/data/357204/0001580642-23-004982.txt,merger/reorg
N-14,Segall Bryant & Hamill Trust,357204,2023-09,-18  edgar/data/357204/0001580642-23-005012.txt,merger/reorg
N-14,"T. Rowe Price Retirement Funds, Inc.",1177017,2023-09,-19  edgar/data/1177017/0001741773-23-003187.txt,merger/reorg
N-14,TRANSAMERICA FUNDS,787623,2023-07,-26  edgar/data/787623/0001193125-23-194521.txt,merger/reorg
N-14,Tidal ETF Trust,1742912,2023-08,-04  edgar/data/1742912/0001839882-23-020699.txt,merger/reorg
N-14 8C,"BLACKROCK MUNIYIELD QUALITY FUND III, INC.",883412,2023-09,-22  edgar/data/883412/0001193125-23-240617.txt,merger/reorg
N-14 8C,Nuveen AMT-Free Municipal Credit Income Fund,1090116,2023-09,-07  edgar/data/1090116/0001193125-23-230662.txt,merger/reorg
N-14 8C,Nuveen Quality Municipal Income Fund,1083839,2023-08,-31  edgar/data/1083839/0001193125-23-226368.txt,merger/reorg
N-14 8C/A,Blue Owl Credit Income Corp.,1812554,2023-07,-12  edgar/data/1812554/0001193125-23-186019.txt,merger/reorg
N-14 8C/A,"Kayne Anderson Energy Infrastructure Fund, Inc.",1293613,2023-08,-08  edgar/data/1293613/0001213900-23-064613.txt,merger/reorg
N-14 8C/A,"Kayne Anderson Energy Infrastructure Fund, Inc.",1293613,2023-09,-06  edgar/data/1293613/0001213900-23-074390.txt,merger/reorg
N-14 8C/A,"Kayne Anderson Energy Infrastructure Fund, Inc.",1293613,2023-09,-20  edgar/data/1293613/0001213900-23-078023.txt,merger/reorg
N-14/A,Advisor Managed Portfolios,1970751,2023-09,-12  edgar/data/1970751/0000894189-23-006969.txt,merger/reorg
N-14/A,Amplify ETF Trust,1633061,2023-09,-25  edgar/data/1633061/0001213900-23-079094.txt,merger/reorg
N-14/A,Aristotle Funds Series Trust,1959372,2023-08,-17  edgar/data/1959372/0000894189-23-005734.txt,merger/reorg
N-14/A,"BLACKROCK LARGE CAP FOCUS GROWTH FUND, INC.",1097293,2023-09,-22  edgar/data/1097293/0001193125-23-240297.txt,merger/reorg
N-14/A,"BlackRock Variable Series Funds, Inc.",355916,2023-09,-22  edgar/data/355916/0001193125-23-240277.txt,merger/reorg
N-14/A,FIRST TRUST EXCHANGE-TRADED FUND VIII,1667919,2023-08,-22  edgar/data/1667919/0001445546-23-005258.txt,merger/reorg
N-14/A,FIRST TRUST EXCHANGE-TRADED FUND VIII,1667919,2023-08,-28  edgar/data/1667919/0001445546-23-005463.txt,merger/reorg
N-14/A,FundVantage Trust,1388485,2023-08,-07  edgar/data/1388485/0001829126-23-005166.txt,merger/reorg
N-14/A,HENNESSY FUNDS TRUST,891944,2023-08,-23  edgar/data/891944/0001387131-23-010119.txt,merger/reorg
N-14/A,HENNESSY FUNDS TRUST,891944,2023-08,-23  edgar/data/891944/0001387131-23-010162.txt,merger/reorg
N-14/A,Hartford Funds Exchange-Traded Trust,1501825,2023-08,-10  edgar/data/1501825/0001193125-23-208554.txt,merger/reorg
N-14/A,JOHNSON MUTUAL FUNDS TRUST,892657,2023-08,-29  edgar/data/892657/0001104659-23-096474.txt,merger/reorg
N-14/A,JOHNSON MUTUAL FUNDS TRUST,892657,2023-08,-30  edgar/data/892657/0001104659-23-096835.txt,merger/reorg
N-14/A,NORTHERN LIGHTS FUND TRUST II,1518042,2023-07,-13  edgar/data/1518042/0001580642-23-003640.txt,merger/reorg
N-14/A,Pear Tree Funds,722885,2023-09,-14  edgar/data/722885/0001104659-23-100822.txt,merger/reorg
N-14/A,QUAKER INVESTMENT TRUST,870355,2023-08,-08  edgar/data/870355/0001398344-23-014326.txt,merger/reorg
N-14/A,QUAKER INVESTMENT TRUST,870355,2023-08,-10  edgar/data/870355/0001398344-23-014443.txt,merger/reorg
N-14/A,Tidal Trust II,1924868,2023-08,-03  edgar/data/1924868/0001387131-23-009286.txt,merger/reorg
N-8F,AOG Institutional Diversified Master Fund,1897593,2023-09,-20  edgar/data/1897593/0001580642-23-005061.txt,deregistration
N-8F,AOG Institutional Diversified Tender Fund,1897690,2023-09,-20  edgar/data/1897690/0001580642-23-005064.txt,deregistration
N-8F,BLACKROCK MARYLAND MUNICIPAL BOND TRUST,1169029,2023-07,-21  edgar/data/1169029/0001193125-23-190996.txt,deregistration
N-8F,BLACKROCK MASSACHUSETTS TAX-EXEMPT TRUST,901824,2023-07,-21  edgar/data/901824/0001193125-23-190997.txt,deregistration
N-8F,BLACKROCK MUNICIPAL BOND TRUST,1167467,2023-07,-21  edgar/data/1167467/0001193125-23-190998.txt,deregistration
N-8F,BLACKROCK MUNICIPAL INCOME INVESTMENT QUALITY TRUST,1181026,2023-07,-21  edgar/data/1181026/0001193125-23-191037.txt,deregistration
N-8F,BLACKROCK MUNICIPAL INCOME INVESTMENT TRUST,1137392,2023-07,-21  edgar/data/1137392/0001193125-23-191000.txt,deregistration
N-8F,"BLACKROCK MUNIENHANCED FUND, INC.",844172,2023-07,-21  edgar/data/844172/0001193125-23-191010.txt,deregistration
N-8F,"BLACKROCK MUNIHOLDINGS FUND II, INC.",1038190,2023-07,-21  edgar/data/1038190/0001193125-23-191011.txt,deregistration
N-8F,BLACKROCK MUNIHOLDINGS INVESTMENT QUALITY FUND,1045126,2023-07,-21  edgar/data/1045126/0001193125-23-191038.txt,deregistration
N-8F,"BLACKROCK MUNIHOLDINGS QUALITY FUND, INC.",1058234,2023-07,-21  edgar/data/1058234/0001193125-23-191013.txt,deregistration
N-8F,"BLACKROCK MUNIYIELD ARIZONA FUND, INC.",911308,2023-07,-21  edgar/data/911308/0001193125-23-191019.txt,deregistration
N-8F,"BLACKROCK MUNIYIELD CALIFORNIA FUND, INC.",882152,2023-07,-21  edgar/data/882152/0001193125-23-191040.txt,deregistration
N-8F,"BLACKROCK MUNIYIELD CALIFORNIA QUALITY FUND, INC.",888410,2023-07,-21  edgar/data/888410/0001193125-23-191042.txt,deregistration
N-8F,BLACKROCK MUNIYIELD INVESTMENT FUND,882153,2023-07,-21  edgar/data/882153/0001193125-23-191021.txt,deregistration
N-8F,BLACKROCK MUNIYIELD INVESTMENT QUALITY FUND,891188,2023-07,-21  edgar/data/891188/0001193125-23-191028.txt,deregistration
N-8F,"BLACKROCK MUNIYIELD NEW JERSEY FUND, INC.",884216,2023-07,-21  edgar/data/884216/0001193125-23-191044.txt,deregistration
