form,company,cik,date_filed,filing_path,event
N-14,ADVISORONE FUNDS,1029068,2019-03,-14  edgar/data/1029068/0001580642-19-001369.txt,merger/reorg
N-14,AIM COUNSELOR SERIES TRUST (INVESCO COUNSELOR SERIES TRUS,T)   1112996,2019-01,-14  edgar/data/1112996/0001193125-19-008998.txt,merger/reorg
N-14,AIM EQUITY FUNDS (INVESCO EQUITY FUNDS),105377,2019-01,-14  edgar/data/105377/0001193125-19-009015.txt,merger/reorg
N-14,AIM GROWTH SERIES (INVESCO GROWTH SERIES),202032,2019-01,-14  edgar/data/202032/0001193125-19-009009.txt,merger/reorg
N-14,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUT,UAL  880859,2019-01,-14  edgar/data/880859/0001193125-19-008982.txt,merger/reorg
N-14,AIM INVESTMENT FUNDS (INVESCO INVESTMENT FUNDS),826644,2019-01,-14  edgar/data/826644/0001193125-19-008992.txt,merger/reorg
N-14,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECUR,ITI  842790,2019-01,-14  edgar/data/842790/0001193125-19-009007.txt,merger/reorg
N-14,AIM SECTOR FUNDS (INVESCO SECTOR FUNDS),725781,2019-01,-14  edgar/data/725781/0001193125-19-008978.txt,merger/reorg
N-14,AIM TAX EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),909466,2019-01,-14  edgar/data/909466/0001193125-19-008977.txt,merger/reorg
N-14,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE,FUN  896435,2019-01,-14  edgar/data/896435/0001193125-19-008983.txt,merger/reorg
N-14,AMERICAN BEACON FUNDS,809593,2019-02,-01  edgar/data/809593/0000898432-19-000164.txt,merger/reorg
N-14,Amplify ETF Trust,1633061,2019-03,-29  edgar/data/1633061/0001615774-19-004946.txt,merger/reorg
N-14,CALAMOS INVESTMENT TRUST/IL,826732,2019-03,-14  edgar/data/826732/0001193125-19-074865.txt,merger/reorg
N-14,CRM Mutual Fund Trust,1322252,2019-03,-15  edgar/data/1322252/0001193125-19-076379.txt,merger/reorg
N-14,DIAMOND HILL FUNDS,1032423,2019-03,-06  edgar/data/1032423/0001032423-19-000096.txt,merger/reorg
N-14,FEDERATED GLOBAL ALLOCATION FUND,13386,2019-02,-01  edgar/data/13386/0001623632-19-000176.txt,merger/reorg
N-14,Frost Family of Funds,1762332,2019-03,-15  edgar/data/1762332/0001398344-19-005019.txt,merger/reorg
N-14,Invesco Exchange-Traded Fund Trust II,1378872,2019-01,-14  edgar/data/1378872/0001193125-19-009043.txt,merger/reorg
N-14,Invesco Exchange-Traded Self-Indexed Fund Trust,1657201,2019-01,-14  edgar/data/1657201/0001193125-19-009050.txt,merger/reorg
