form,company,cik,date_filed,filing_path,event
N-14,ADVISORS SERIES TRUST,1027596,2019-06,-03  edgar/data/1027596/0000894189-19-003445.txt,merger/reorg
N-14,AMERICAN CENTURY CAPITAL PORTFOLIOS INC,908186,2019-06,-28  edgar/data/908186/0000908186-19-000117.txt,merger/reorg
N-14,ARIEL INVESTMENT TRUST,798365,2019-04,-22  edgar/data/798365/0001193125-19-113583.txt,merger/reorg
N-14,BLACKROCK EQUITY DIVIDEND FUND,814507,2019-05,-21  edgar/data/814507/0001193125-19-152810.txt,merger/reorg
N-14,"BLACKROCK SERIES, INC.",1062806,2019-05,-21  edgar/data/1062806/0001193125-19-152806.txt,merger/reorg
N-14,"BlackRock Capital Appreciation Fund, Inc.",887509,2019-05,-21  edgar/data/887509/0001193125-19-152807.txt,merger/reorg
N-14,BlackRock Funds II,1398078,2019-05,-29  edgar/data/1398078/0001193125-19-159771.txt,merger/reorg
N-14,BlackRock Funds III,893818,2019-05,-29  edgar/data/893818/0001193125-19-159768.txt,merger/reorg
N-14,BlackRock Funds III,893818,2019-05,-29  edgar/data/893818/0001193125-19-159773.txt,merger/reorg
N-14,BlackRock Funds VI,1738080,2019-05,-21  edgar/data/1738080/0001193125-19-152805.txt,merger/reorg
N-14,Centre Funds,1517238,2019-04,-18  edgar/data/1517238/0000919574-19-002986.txt,merger/reorg
N-14,DELAWARE GROUP EQUITY FUNDS IV,778108,2019-06,-19  edgar/data/778108/0001680289-19-000039.txt,merger/reorg
N-14,DELAWARE GROUP LIMITED-TERM GOVERNMENT FUNDS,357059,2019-06,-19  edgar/data/357059/0001680289-19-000040.txt,merger/reorg
N-14,DELAWARE VIP TRUST,814230,2019-06,-19  edgar/data/814230/0001680289-19-000032.txt,merger/reorg
N-14,FINANCIAL INVESTORS TRUST,915802,2019-06,-14  edgar/data/915802/0001398344-19-010540.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND II,1364608,2019-05,-08  edgar/data/1364608/0001445546-19-002140.txt,merger/reorg
N-14,FundX Investment Trust,1602508,2019-05,-24  edgar/data/1602508/0000894189-19-003212.txt,merger/reorg
N-14,GREAT-WEST FUNDS INC,356476,2019-06,-14  edgar/data/356476/0001193125-19-173757.txt,merger/reorg
N-14,Investment Managers Series Trust,1318342,2019-06,-25  edgar/data/1318342/0001398344-19-011048.txt,merger/reorg
N-14,John Hancock Funds II,1331971,2019-06,-28  edgar/data/1331971/0001133228-19-004241.txt,merger/reorg
N-14,LORD ABBETT INVESTMENT TRUST,911507,2019-04,-10  edgar/data/911507/0000930413-19-001183.txt,merger/reorg
N-14,MADISON FUNDS,1040612,2019-05,-22  edgar/data/1040612/0001040612-19-000056.txt,merger/reorg
N-14,Managed Portfolio Series,1511699,2019-06,-28  edgar/data/1511699/0000894189-19-003952.txt,merger/reorg
N-14,OHIO NATIONAL FUND INC,315754,2019-06,-27  edgar/data/315754/0001193125-19-183782.txt,merger/reorg
N-14,"RBB FUND, INC.",831114,2019-04,-12  edgar/data/831114/0001398344-19-006537.txt,merger/reorg
N-14,SCM Trust,836267,2019-04,-01  edgar/data/836267/0001398344-19-005960.txt,merger/reorg
N-14,Segall Bryant & Hamill Trust,357204,2019-04,-08  edgar/data/357204/0001398344-19-006398.txt,merger/reorg
N-14,THRIVENT MUTUAL FUNDS,811869,2019-04,-26  edgar/data/811869/0001193125-19-121415.txt,merger/reorg
N-14,TOUCHSTONE FUNDS GROUP TRUST,914243,2019-06,-24  edgar/data/914243/0000914243-19-000095.txt,merger/reorg
N-14,TOUCHSTONE VARIABLE SERIES TRUST,920547,2019-04,-30  edgar/data/920547/0000920547-19-000013.txt,merger/reorg
N-14,Voya INVESTORS TRUST,837276,2019-04,-12  edgar/data/837276/0001144204-19-019504.txt,merger/reorg
N-14,Voya VARIABLE PORTFOLIOS INC,1015965,2019-04,-17  edgar/data/1015965/0001144204-19-020030.txt,merger/reorg
N-14,WELLS FARGO FUNDS TRUST,1081400,2019-05,-31  edgar/data/1081400/0001081400-19-000339.txt,merger/reorg
N-14,WELLS FARGO FUNDS TRUST,1081400,2019-05,-31  edgar/data/1081400/0001081400-19-000341.txt,merger/reorg
N-14,WELLS FARGO FUNDS TRUST,1081400,2019-05,-31  edgar/data/1081400/0001081400-19-000344.txt,merger/reorg
N-14 8C,COHEN & STEERS INFRASTRUCTURE FUND INC,1275617,2019-06,-27  edgar/data/1275617/0001193125-19-184381.txt,merger/reorg
N-14 8C,Nuveen AMT-Free Municipal Credit Income Fund,1090116,2019-06,-13  edgar/data/1090116/0001193125-19-172572.txt,merger/reorg
N-14 8C,Nuveen AMT-Free Quality Municipal Income Fund,1195737,2019-06,-07  edgar/data/1195737/0001193125-19-168287.txt,merger/reorg
N-14 8C,Nuveen Quality Municipal Income Fund,1083839,2019-06,-07  edgar/data/1083839/0001193125-19-168288.txt,merger/reorg
N-14 8C/A,LAZARD GLOBAL TOTAL RETURN & INCOME FUND INC,1278211,2019-06,-28  edgar/data/1278211/0000930413-19-001934.txt,merger/reorg
N-14/A,ARIEL INVESTMENT TRUST,798365,2019-05,-17  edgar/data/798365/0001193125-19-150706.txt,merger/reorg
N-14/A,ARIEL INVESTMENT TRUST,798365,2019-05,-21  edgar/data/798365/0001193125-19-152847.txt,merger/reorg
N-14/A,Amplify ETF Trust,1633061,2019-05,-28  edgar/data/1633061/0001615774-19-008515.txt,merger/reorg
N-14/A,CALAMOS INVESTMENT TRUST/IL,826732,2019-04,-12  edgar/data/826732/0001193125-19-105108.txt,merger/reorg
N-14/A,FIRST TRUST EXCHANGE-TRADED FUND II,1364608,2019-06,-21  edgar/data/1364608/0001445546-19-002793.txt,merger/reorg
N-14/A,Frost Family of Funds,1762332,2019-04,-25  edgar/data/1762332/0001398344-19-007044.txt,merger/reorg
N-14/A,FundX Investment Trust,1602508,2019-06,-21  edgar/data/1602508/0000894189-19-003729.txt,merger/reorg
N-14/A,MADISON FUNDS,1040612,2019-06,-27  edgar/data/1040612/0001040612-19-000064.txt,merger/reorg
N-14/A,Monteagle Funds,1045701,2019-04,-25  edgar/data/1045701/0001162044-19-000233.txt,merger/reorg
N-14/A,PUTNAM INTERNATIONAL EQUITY FUND,868648,2019-04,-02  edgar/data/868648/0000928816-19-000648.txt,merger/reorg
N-14/A,"RBB FUND, INC.",831114,2019-05,-31  edgar/data/831114/0001398344-19-009934.txt,merger/reorg
N-14/A,Segall Bryant & Hamill Trust,357204,2019-05,-10  edgar/data/357204/0001398344-19-008611.txt,merger/reorg
N-14/A,Sprott ETF Trust,1728683,2019-05,-08  edgar/data/1728683/0001193125-19-141608.txt,merger/reorg
N-14/A,TRANSAMERICA FUNDS,787623,2019-06,-03  edgar/data/787623/0001193125-19-164139.txt,merger/reorg
N-14/A,Voya INVESTORS TRUST,837276,2019-05,-14  edgar/data/837276/0001144204-19-025992.txt,merger/reorg
N-14/A,Voya VARIABLE PORTFOLIOS INC,1015965,2019-05,-17  edgar/data/1015965/0001144204-19-027031.txt,merger/reorg
N-14/A,WELLS FARGO FUNDS TRUST,1081400,2019-06,-20  edgar/data/1081400/0001081400-19-000398.txt,merger/reorg
N-14/A,WELLS FARGO FUNDS TRUST,1081400,2019-06,-28  edgar/data/1081400/0001081400-19-000475.txt,merger/reorg
N-14/A,WELLS FARGO FUNDS TRUST,1081400,2019-06,-28  edgar/data/1081400/0001081400-19-000479.txt,merger/reorg
N-8F,ALLIANCE CALIFORNIA MUNICIPAL INCOME FUND,1162028,2019-06,-28  edgar/data/1162028/0000919574-19-004358.txt,deregistration
N-8F,BlackRock Preferred Partners LLC,1517462,2019-06,-14  edgar/data/1517462/0001193125-19-173747.txt,deregistration
N-8F,CC Real Estate Income Fund-T2,1730778,2019-04,-24  edgar/data/1730778/0001144204-19-020896.txt,deregistration
N-8F,Causeway ETMF Trust,1693128,2019-06,-19  edgar/data/1693128/0001193125-19-176462.txt,deregistration
N-8F,"Cortina Funds, Inc.",1289519,2019-05,-16  edgar/data/1289519/0001398344-19-009031.txt,deregistration
N-8F,DREYFUS MANAGER FUNDS I,1247088,2019-06,-10  edgar/data/1247088/0000740766-19-000014.txt,deregistration
N-8F,"Dreyfus TMT Opportunities Fund, Inc.",1618630,2019-06,-28  edgar/data/1618630/0001144204-19-032915.txt,deregistration
N-8F,ETF Labs Trust,1643961,2019-06,-26  edgar/data/1643961/0001615774-19-009607.txt,deregistration
N-8F,Eaton Vance Municipal Bond Fund Massachusetts Merger Subs,idi  1761607,2019-05,-16  edgar/data/1761607/0000940394-19-000834.txt,deregistration
N-8F,JPMorgan Trust III,1592106,2019-05,-20  edgar/data/1592106/0001193125-19-151723.txt,deregistration
N-8F,MANAGED DURATION INVESTMENT GRADE MUNICIPAL FUND,1235511,2019-04,-30  edgar/data/1235511/0001193125-19-128888.txt,deregistration
N-8F,Mandatory Exchangeable Trust,1675177,2019-06,-18  edgar/data/1675177/0000894189-19-003652.txt,deregistration
N-8F,Nuveen Build America Bond Opportunity Fund,1493523,2019-05,-14  edgar/data/1493523/0001137439-19-000164.txt,deregistration
N-8F,Nuveen Credit Opportunities 2020 Target Term Fund,1686141,2019-05,-02  edgar/data/1686141/0001137439-19-000149.txt,deregistration
N-8F,Nuveen Credit Opportunities 2024 Target Term Fund,1686143,2019-05,-02  edgar/data/1686143/0001137439-19-000151.txt,deregistration
N-8F,Nuveen High Income December 2022 Target Term Fund,1647934,2019-05,-02  edgar/data/1647934/0001137439-19-000153.txt,deregistration
