form,company,cik,date_filed,filing_path,event
N-14,ADVANCED SERIES TRUST,814679,2022-05,-06  edgar/data/814679/0001104659-22-056908.txt,merger/reorg
N-14,ALLSPRING FUNDS TRUST,1081400,2022-06,-07  edgar/data/1081400/0001081400-22-000487.txt,merger/reorg
N-14,AMERICAN BEACON FUNDS,809593,2022-06,-30  edgar/data/809593/0000898432-22-000423.txt,merger/reorg
N-14,CANTOR SELECT PORTFOLIOS TRUST,1903606,2022-04,-22  edgar/data/1903606/0001580642-22-002201.txt,merger/reorg
N-14,CARILLON SERIES TRUST,897111,2022-04,-06  edgar/data/897111/0000898432-22-000261.txt,merger/reorg
N-14,CENTAUR MUTUAL FUNDS TRUST,1295908,2022-06,-07  edgar/data/1295908/0001398344-22-011604.txt,merger/reorg
N-14,EA Series Trust,1592900,2022-06,-30  edgar/data/1592900/0001829126-22-013971.txt,merger/reorg
N-14,EQ ADVISORS TRUST,1027263,2022-06,-30  edgar/data/1027263/0001193125-22-185964.txt,merger/reorg
N-14,EQ PREMIER VIP TRUST,1160168,2022-06,-30  edgar/data/1160168/0001193125-22-185966.txt,merger/reorg
N-14,Franklin Templeton ETF Trust,1655589,2022-04,-08  edgar/data/1655589/0001794202-22-000078.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2022-04,-13  edgar/data/1587982/0001398344-22-007367.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2022-04,-27  edgar/data/1587982/0000930413-22-000901.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2022-05,-11  edgar/data/1587982/0000930413-22-001044.txt,merger/reorg
N-14,Manager Directed Portfolios,1359057,2022-04,-08  edgar/data/1359057/0000894189-22-002564.txt,merger/reorg
N-14,Northern Lights Fund Trust IV,1644419,2022-06,-21  edgar/data/1644419/0001580642-22-003158.txt,merger/reorg
N-14,PROFESSIONALLY MANAGED PORTFOLIOS,811030,2022-06,-27  edgar/data/811030/0000894189-22-004530.txt,merger/reorg
N-14,Two Roads Shared Trust,1552947,2022-04,-19  edgar/data/1552947/0001580642-22-002147.txt,merger/reorg
N-14,Two Roads Shared Trust,1552947,2022-04,-27  edgar/data/1552947/0001580642-22-002291.txt,merger/reorg
N-14,VANGUARD VALLEY FORGE FUNDS,889519,2022-04,-05  edgar/data/889519/0001137439-22-000302.txt,merger/reorg
N-14,Voya EQUITY TRUST,1063946,2022-06,-14  edgar/data/1063946/0001683863-22-005001.txt,merger/reorg
N-14 8C,Angel Oak Financial Strategies Income Term Trust,1745059,2022-04,-15  edgar/data/1745059/0001193125-22-106610.txt,merger/reorg
N-14 8C,Blackstone Private Credit Fund,1803498,2022-05,-20  edgar/data/1803498/0001193125-22-155977.txt,merger/reorg
N-14 8C,Morgan Stanley Direct Lending Fund,1782524,2022-05,-06  edgar/data/1782524/0001104659-22-057074.txt,merger/reorg
N-14 8C,Owl Rock Capital Corp III,1807427,2022-05,-20  edgar/data/1807427/0001193125-22-156146.txt,merger/reorg
N-14 8C,Owl Rock Core Income Corp.,1812554,2022-05,-16  edgar/data/1812554/0001193125-22-150424.txt,merger/reorg
