form,company,cik,date_filed,filing_path,event
N-14,ALLSPRING FUNDS TRUST,1081400,2023-12,-01  edgar/data/1081400/0001081400-23-000775.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-10,-10  edgar/data/1970751/0000894189-23-007572.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-10,-16  edgar/data/1970751/0000894189-23-007607.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-10,-16  edgar/data/1970751/0000894189-23-007609.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-10,-16  edgar/data/1970751/0000894189-23-007627.txt,merger/reorg
N-14,Advisor Managed Portfolios,1970751,2023-10,-18  edgar/data/1970751/0000894189-23-007650.txt,merger/reorg
N-14,Angel Oak Funds Trust,1612930,2023-12,-29  edgar/data/1612930/0000894189-23-009430.txt,merger/reorg
N-14,BERNSTEIN SANFORD C FUND INC,832808,2023-12,-06  edgar/data/832808/0001193125-23-289994.txt,merger/reorg
N-14,"BNY MELLON MUNICIPAL FUNDS, INC.",878092,2023-11,-03  edgar/data/878092/0000878092-23-000012.txt,merger/reorg
N-14,"BNY MELLON MUNICIPAL FUNDS, INC.",878092,2023-12,-11  edgar/data/878092/0000878092-23-000018.txt,merger/reorg
N-14,BNY MELLON NEW YORK AMT-FREE MUNICIPAL BOND FUND,797920,2023-11,-16  edgar/data/797920/0000797920-23-000027.txt,merger/reorg
N-14,Exchange Listed Funds Trust,1547950,2023-11,-07  edgar/data/1547950/0001213900-23-083966.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND VIII,1667919,2023-11,-01  edgar/data/1667919/0001445546-23-007212.txt,merger/reorg
N-14,FPA FUNDS TRUST,924727,2023-12,-27  edgar/data/924727/0001104659-23-129760.txt,merger/reorg
N-14,Federated Hermes Government Income Trust,357052,2023-11,-17  edgar/data/357052/0001623632-23-001457.txt,merger/reorg
N-14,HOTCHKIS & WILEY FUNDS /DE/,1145022,2023-10,-06  edgar/data/1145022/0000894189-23-007553.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2023-10,-31  edgar/data/1587982/0001213900-23-081822.txt,merger/reorg
N-14,Investment Managers Series Trust II,1587982,2023-11,-24  edgar/data/1587982/0001213900-23-089902.txt,merger/reorg
N-14,Morgan Stanley ETF Trust,1676326,2023-10,-02  edgar/data/1676326/0001104659-23-105999.txt,merger/reorg
N-14,Morgan Stanley ETF Trust,1676326,2023-12,-18  edgar/data/1676326/0001104659-23-126646.txt,merger/reorg
N-14,NORTHERN LIGHTS FUND TRUST II,1518042,2023-12,-18  edgar/data/1518042/0001580642-23-006768.txt,merger/reorg
N-14,OBERWEIS FUNDS,803020,2023-10,-06  edgar/data/803020/0001013762-23-002337.txt,merger/reorg
N-14,UBS Series Funds,1060517,2023-12,-18  edgar/data/1060517/0001193125-23-297732.txt,merger/reorg
N-14,VIRTUS ASSET TRUST,1018593,2023-11,-28  edgar/data/1018593/0001193125-23-283527.txt,merger/reorg
N-14,VIRTUS ASSET TRUST,1018593,2023-11,-28  edgar/data/1018593/0001193125-23-283528.txt,merger/reorg
N-14,VIRTUS ASSET TRUST,1018593,2023-12,-14  edgar/data/1018593/0001193125-23-295127.txt,merger/reorg
N-14,VIRTUS EQUITY TRUST,34273,2023-12,-13  edgar/data/34273/0001193125-23-294212.txt,merger/reorg
N-14 8C,BlackRock TCP Capital Corp.,1370755,2023-10,-06  edgar/data/1370755/0001140361-23-047401.txt,merger/reorg
N-14 8C,Franklin BSP Capital Corp,1825248,2023-10,-06  edgar/data/1825248/0001213900-23-081202.txt,merger/reorg
N-14 8C,MidCap Financial Investment Corp,1278752,2023-11,-17  edgar/data/1278752/0001193125-23-279848.txt,merger/reorg
N-14 8C,Nuveen AMT-Free Quality Municipal Income Fund,1195737,2023-10,-03  edgar/data/1195737/0001193125-23-250041.txt,merger/reorg
N-14 8C,abrdn Global Infrastructure Income Fund,1793855,2023-10,-24  edgar/data/1793855/0001104659-23-111142.txt,merger/reorg
N-14 8C,abrdn Income Credit Strategies Fund,1503290,2023-10,-24  edgar/data/1503290/0001104659-23-111138.txt,merger/reorg
N-14 8C,abrdn Total Dynamic Dividend Fund,1379400,2023-10,-24  edgar/data/1379400/0001104659-23-111135.txt,merger/reorg
N-14 8C/A,BlackRock TCP Capital Corp.,1370755,2023-11,-09  edgar/data/1370755/0001133228-23-005999.txt,merger/reorg
N-14 8C/A,BlackRock TCP Capital Corp.,1370755,2023-11,-14  edgar/data/1370755/0001140361-23-053293.txt,merger/reorg
N-14 8C/A,Franklin BSP Capital Corp,1825248,2023-10,-20  edgar/data/1825248/0001013762-23-005190.txt,merger/reorg
N-14 8C/A,Virtus Stone Harbor Emerging Markets Income Fund,1501103,2023-11,-07  edgar/data/1501103/0001104659-23-115301.txt,merger/reorg
N-14 8C/A,abrdn Global Infrastructure Income Fund,1793855,2023-12,-12  edgar/data/1793855/0001104659-23-125324.txt,merger/reorg
N-14 8C/A,abrdn Income Credit Strategies Fund,1503290,2023-12,-12  edgar/data/1503290/0001104659-23-125278.txt,merger/reorg
N-14 8C/A,abrdn Total Dynamic Dividend Fund,1379400,2023-12,-12  edgar/data/1379400/0001104659-23-125329.txt,merger/reorg
N-14/A,Advisor Managed Portfolios,1970751,2023-10,-19  edgar/data/1970751/0000894189-23-007685.txt,merger/reorg
N-14/A,CENTAUR MUTUAL FUNDS TRUST,1295908,2023-10,-10  edgar/data/1295908/0001580642-23-005471.txt,merger/reorg
N-14/A,Exchange Listed Funds Trust,1547950,2023-12,-04  edgar/data/1547950/0001213900-23-092694.txt,merger/reorg
N-14/A,HOTCHKIS & WILEY FUNDS /DE/,1145022,2023-11,-02  edgar/data/1145022/0000894189-23-008171.txt,merger/reorg
N-14/A,HOTCHKIS & WILEY FUNDS /DE/,1145022,2023-11,-07  edgar/data/1145022/0000894189-23-008262.txt,merger/reorg
N-14/A,Segall Bryant & Hamill Trust,357204,2023-10,-13  edgar/data/357204/0001580642-23-005518.txt,merger/reorg
N-14/A,Segall Bryant & Hamill Trust,357204,2023-10,-17  edgar/data/357204/0001580642-23-005544.txt,merger/reorg
N-14/A,Segall Bryant & Hamill Trust,357204,2023-10,-19  edgar/data/357204/0001580642-23-005592.txt,merger/reorg
N-14/A,Segall Bryant & Hamill Trust,357204,2023-10,-20  edgar/data/357204/0001580642-23-005611.txt,merger/reorg
N-14/A,"T. Rowe Price Retirement Funds, Inc.",1177017,2023-11,-09  edgar/data/1177017/0001741773-23-003610.txt,merger/reorg
