form,company,cik,date_filed,filing_path,event
N-14,ADVANCED SERIES TRUST,814679,2018-08,-06  edgar/data/814679/0001104659-18-049783.txt,merger/reorg
N-14,AMERICAN BEACON FUNDS,809593,2018-08,-31  edgar/data/809593/0000898432-18-000990.txt,merger/reorg
N-14,AMERICAN BEACON FUNDS,809593,2018-09,-14  edgar/data/809593/0000898432-18-001009.txt,merger/reorg
N-14,Advisors' Inner Circle Fund III,1593547,2018-07,-25  edgar/data/1593547/0001398344-18-010490.txt,merger/reorg
N-14,EPIPHANY FUNDS,1377031,2018-07,-26  edgar/data/1377031/0001580642-18-003519.txt,merger/reorg
N-14,EPIPHANY FUNDS,1377031,2018-08,-01  edgar/data/1377031/0001580642-18-003628.txt,merger/reorg
N-14,EPIPHANY FUNDS,1377031,2018-09,-21  edgar/data/1377031/0001580642-18-004606.txt,merger/reorg
N-14,FIRST INVESTORS INCOME FUNDS,740967,2018-07,-06  edgar/data/740967/0000898432-18-000784.txt,merger/reorg
N-14,FIRST INVESTORS LIFE SERIES FUNDS,770906,2018-09,-28  edgar/data/770906/0000898432-18-001075.txt,merger/reorg
N-14,FIRST INVESTORS TAX EXEMPT FUNDS,716792,2018-08,-30  edgar/data/716792/0000898432-18-000982.txt,merger/reorg
N-14,Forward Funds,889188,2018-07,-13  edgar/data/889188/0001193125-18-217761.txt,merger/reorg
N-14,HARTFORD MUTUAL FUNDS INC/CT,1006415,2018-08,-10  edgar/data/1006415/0001144204-18-043549.txt,merger/reorg
N-14,HENNESSY FUNDS TRUST,891944,2018-07,-27  edgar/data/891944/0000898531-18-000424.txt,merger/reorg
N-14,MAINSTAY VP FUNDS TRUST,887340,2018-08,-10  edgar/data/887340/0001144204-18-043439.txt,merger/reorg
N-14,MUTUAL FUND SERIES TRUST,1355064,2018-07,-26  edgar/data/1355064/0001580642-18-003519.txt,merger/reorg
N-14,MUTUAL FUND SERIES TRUST,1355064,2018-08,-01  edgar/data/1355064/0001580642-18-003628.txt,merger/reorg
N-14,MUTUAL FUND SERIES TRUST,1355064,2018-09,-21  edgar/data/1355064/0001580642-18-004606.txt,merger/reorg
N-14,Meeder Funds,702435,2018-09,-28  edgar/data/702435/0001398344-18-014205.txt,merger/reorg
