form,company,cik,date_filed,filing_path,event
N-14,"AB VARIABLE PRODUCTS SERIES FUND, INC.",825316,2018-11,-26  edgar/data/825316/0000919574-18-007750.txt,merger/reorg
N-14,"AB VARIABLE PRODUCTS SERIES FUND, INC.",825316,2018-11,-26  edgar/data/825316/0000919574-18-007752.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2018-11,-29  edgar/data/814679/0001104659-18-070566.txt,merger/reorg
N-14,ALPS Series Trust,1558107,2018-12,-28  edgar/data/1558107/0001398344-18-018590.txt,merger/reorg
N-14,AMERICAFIRST QUANTITATIVE FUNDS,1539996,2018-11,-20  edgar/data/1539996/0001162044-18-000649.txt,merger/reorg
N-14,EPIPHANY FUNDS,1377031,2018-10,-30  edgar/data/1377031/0001580642-18-005134.txt,merger/reorg
N-14,GREAT-WEST FUNDS INC,356476,2018-12,-14  edgar/data/356476/0001193125-18-349729.txt,merger/reorg
N-14,Global X Funds,1432353,2018-10,-03  edgar/data/1432353/0001432353-18-000079.txt,merger/reorg
N-14,Intrepid Capital Management Funds Trust,1300746,2018-11,-20  edgar/data/1300746/0000894189-18-006341.txt,merger/reorg
N-14,JACKSON VARIABLE SERIES TRUST,1532747,2018-12,-21  edgar/data/1532747/0001532747-18-000133.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2018-12,-21  edgar/data/933691/0000933691-18-000690.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2018-12,-21  edgar/data/933691/0000933691-18-000692.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2018-12,-21  edgar/data/933691/0000933691-18-000694.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2018-12,-21  edgar/data/933691/0000933691-18-000696.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2018-12,-21  edgar/data/933691/0000933691-18-000698.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2018-12,-21  edgar/data/933691/0000933691-18-000700.txt,merger/reorg
N-14,John Hancock Funds III,1329954,2018-12,-06  edgar/data/1329954/0001133228-18-006361.txt,merger/reorg
N-14,LORD ABBETT MID CAP STOCK FUND INC,716788,2018-11,-20  edgar/data/716788/0000930413-18-003394.txt,merger/reorg
N-14,LORD ABBETT SECURITIES TRUST,898031,2018-11,-20  edgar/data/898031/0000930413-18-003393.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2018-12,-21  edgar/data/1469192/0001144204-18-066090.txt,merger/reorg
N-14,MORGAN STANLEY INSTITUTIONAL FUND INC,836487,2018-10,-15  edgar/data/836487/0001104659-18-061981.txt,merger/reorg
N-14,MORGAN STANLEY INSTITUTIONAL FUND INC,836487,2018-12,-17  edgar/data/836487/0001104659-18-073312.txt,merger/reorg
N-14,MORGAN STANLEY VARIABLE INSURANCE FUND INC.,1011378,2018-10,-11  edgar/data/1011378/0001104659-18-061605.txt,merger/reorg
N-14,MUTUAL FUND SERIES TRUST,1355064,2018-10,-30  edgar/data/1355064/0001580642-18-005134.txt,merger/reorg
