form,company,cik,date_filed,filing_path,event
N-14,ADVANCED SERIES TRUST,814679,2024-09,-09  edgar/data/814679/0001104659-24-098121.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2024-09,-09  edgar/data/814679/0001104659-24-098144.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2024-09,-09  edgar/data/814679/0001104659-24-098159.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2024-09,-10  edgar/data/814679/0001104659-24-098563.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2024-09,-24  edgar/data/814679/0001104659-24-102430.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2024-09,-25  edgar/data/814679/0001104659-24-102795.txt,merger/reorg
N-14,ADVANCED SERIES TRUST,814679,2024-09,-30  edgar/data/814679/0001104659-24-104196.txt,merger/reorg
N-14,AMERICAN BEACON FUNDS,809593,2024-08,-14  edgar/data/809593/0001133228-24-007724.txt,merger/reorg
N-14,Advisors' Inner Circle Fund II,890540,2024-07,-02  edgar/data/890540/0001398344-24-012197.txt,merger/reorg
N-14,Advisors' Inner Circle Fund III,1593547,2024-07,-08  edgar/data/1593547/0001398344-24-012428.txt,merger/reorg
N-14,BNY Mellon ETF Trust II,2025968,2024-09,-16  edgar/data/2025968/0002025968-24-000008.txt,merger/reorg
N-14,BlackRock ETF Trust II,1804196,2024-09,-18  edgar/data/1804196/0001193125-24-221494.txt,merger/reorg
N-14,"EMPOWER FUNDS, INC.",356476,2024-07,-19  edgar/data/356476/0001193125-24-181668.txt,merger/reorg
N-14,FIDELITY SUMMER STREET TRUST,225322,2024-08,-08  edgar/data/225322/0001133228-24-007542.txt,merger/reorg
N-14,Franklin Templeton ETF Trust,1655589,2024-09,-12  edgar/data/1655589/0001680359-24-000315.txt,merger/reorg
N-14,HARTFORD MUTUAL FUNDS INC/CT,1006415,2024-07,-19  edgar/data/1006415/0001193125-24-181667.txt,merger/reorg
N-14,Intrepid Capital Management Funds Trust,1300746,2024-09,-20  edgar/data/1300746/0000897069-24-001878.txt,merger/reorg
N-14,Investment Managers Series Trust III,924727,2024-08,-20  edgar/data/924727/0001213900-24-070845.txt,merger/reorg
N-14,JNL SERIES TRUST,933691,2024-07,-11  edgar/data/933691/0000933691-24-000335.txt,merger/reorg
N-14,James Alpha Funds Trust,1829774,2024-07,-01  edgar/data/1829774/0001580642-24-003384.txt,merger/reorg
N-14,Kurv ETF Trust,1782952,2024-08,-21  edgar/data/1782952/0001999371-24-010468.txt,merger/reorg
N-14,MASSMUTUAL PREMIER FUNDS,927972,2024-07,-03  edgar/data/927972/0001133228-24-006438.txt,merger/reorg
N-14,MASSMUTUAL SELECT FUNDS,916053,2024-07,-03  edgar/data/916053/0001133228-24-006436.txt,merger/reorg
N-14,MATTHEWS INTERNATIONAL FUNDS,923184,2024-08,-30  edgar/data/923184/0001193125-24-210871.txt,merger/reorg
N-14,MORGAN STANLEY PATHWAY FUNDS,875186,2024-08,-20  edgar/data/875186/0001193125-24-203605.txt,merger/reorg
N-14,Managed Portfolio Series,1511699,2024-07,-12  edgar/data/1511699/0000894189-24-004058.txt,merger/reorg
N-14,Managed Portfolio Series,1511699,2024-09,-24  edgar/data/1511699/0000894189-24-005753.txt,merger/reorg
N-14,NATIONWIDE MUTUAL FUNDS,1048702,2024-09,-25  edgar/data/1048702/0001680359-24-000320.txt,merger/reorg
N-14,New Age Alpha Funds Trust,2013853,2024-07,-19  edgar/data/2013853/0001999371-24-008839.txt,merger/reorg
N-14,New Age Alpha Funds Trust,2013853,2024-07,-19  edgar/data/2013853/0001999371-24-008840.txt,merger/reorg
N-14,New Age Alpha Variable Funds Trust,2013968,2024-07,-19  edgar/data/2013968/0001999371-24-008841.txt,merger/reorg
N-14,PERRITT FUNDS INC,1286087,2024-08,-26  edgar/data/1286087/0000897069-24-001757.txt,merger/reorg
N-14,"T. Rowe Price High Yield Fund, Inc.",754915,2024-08,-16  edgar/data/754915/0001104659-24-090454.txt,merger/reorg
N-14,"T. Rowe Price International Funds, Inc.",313212,2024-08,-09  edgar/data/313212/0001741773-24-003451.txt,merger/reorg
N-14,TCW ETF Trust,1831313,2024-09,-12  edgar/data/1831313/0001829126-24-006253.txt,merger/reorg
N-14,TEMPLETON DEVELOPING MARKETS TRUST,878087,2024-07,-17  edgar/data/878087/0001680359-24-000191.txt,merger/reorg
