form,company,cik,date_filed,filing_path,event
N-14,ALGER PORTFOLIOS,832566,2023-06,-02  edgar/data/832566/0001193125-23-159812.txt,merger/reorg
N-14,AMERICAN PENSION INVESTORS TRUST,764859,2023-05,-25  edgar/data/764859/0001580642-23-002902.txt,merger/reorg
N-14,Aristotle Funds Series Trust,1959372,2023-06,-29  edgar/data/1959372/0000894189-23-004536.txt,merger/reorg
N-14,BlackRock Funds V,1738078,2023-05,-08  edgar/data/1738078/0001193125-23-138361.txt,merger/reorg
N-14,BondBloxx ETF Trust,1879238,2023-06,-20  edgar/data/1879238/0001829126-23-004305.txt,merger/reorg
N-14,Brookfield Investment Funds,1520738,2023-05,-26  edgar/data/1520738/0001104659-23-065529.txt,merger/reorg
N-14,Brown Advisory Funds,1548609,2023-04,-24  edgar/data/1548609/0000894189-23-002794.txt,merger/reorg
N-14,CANTOR SELECT PORTFOLIOS TRUST,1903606,2023-04,-21  edgar/data/1903606/0001580642-23-002185.txt,merger/reorg
N-14,FIRST TRUST EXCHANGE-TRADED FUND VIII,1667919,2023-06,-27  edgar/data/1667919/0001445546-23-004116.txt,merger/reorg
N-14,FLEXSHARES TRUST,1491978,2023-05,-10  edgar/data/1491978/0001137439-23-000651.txt,merger/reorg
N-14,FPA FUNDS TRUST,924727,2023-05,-26  edgar/data/924727/0001104659-23-065511.txt,merger/reorg
N-14,FundVantage Trust,1388485,2023-04,-18  edgar/data/1388485/0001829126-23-002811.txt,merger/reorg
N-14,FundVantage Trust,1388485,2023-06,-30  edgar/data/1388485/0001829126-23-004529.txt,merger/reorg
N-14,HENNESSY FUNDS TRUST,891944,2023-06,-05  edgar/data/891944/0000898531-23-000238.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2023-05,-09  edgar/data/1469192/0001104659-23-057511.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2023-05,-09  edgar/data/1469192/0001104659-23-057512.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2023-05,-09  edgar/data/1469192/0001104659-23-057513.txt,merger/reorg
N-14,MAINSTAY FUNDS TRUST,1469192,2023-05,-09  edgar/data/1469192/0001104659-23-057515.txt,merger/reorg
N-14,NORTHERN LIGHTS FUND TRUST II,1518042,2023-06,-06  edgar/data/1518042/0001580642-23-003102.txt,merger/reorg
N-14,Neuberger Berman ETF Trust,1506001,2023-06,-22  edgar/data/1506001/0000898432-23-000399.txt,merger/reorg
N-14,PIONEER HIGH YIELD FUND,1094521,2023-04,-26  edgar/data/1094521/0001193125-23-118341.txt,merger/reorg
N-14,"RBB FUND, INC.",831114,2023-04,-28  edgar/data/831114/0001398344-23-008305.txt,merger/reorg
N-14,Tidal Trust II,1924868,2023-06,-26  edgar/data/1924868/0001387131-23-007855.txt,merger/reorg
N-14,Total Fund Solution,1872253,2023-05,-24  edgar/data/1872253/0000894189-23-003894.txt,merger/reorg
N-14,Touchstone ETF Trust,1919700,2023-06,-14  edgar/data/1919700/0001683863-23-005066.txt,merger/reorg
N-14 8C,NEUBERGER BERMAN MUNICIPAL FUND INC.,1178839,2023-04,-18  edgar/data/1178839/0000898432-23-000204.txt,merger/reorg
N-14 8C,Nuveen Preferred & Income Opportunities Fund,1216583,2023-05,-11  edgar/data/1216583/0001193125-23-140923.txt,merger/reorg
N-14 8C,Owl Rock Core Income Corp.,1812554,2023-05,-26  edgar/data/1812554/0001193125-23-155564.txt,merger/reorg
N-14 8C/A,"Kayne Anderson Energy Infrastructure Fund, Inc.",1293613,2023-04,-28  edgar/data/1293613/0001213900-23-033774.txt,merger/reorg
N-14 8C/A,NEUBERGER BERMAN MUNICIPAL FUND INC.,1178839,2023-06,-02  edgar/data/1178839/0000898432-23-000360.txt,merger/reorg
N-14 8C/A,Nuveen Preferred & Income Opportunities Fund,1216583,2023-06,-23  edgar/data/1216583/0001193125-23-173963.txt,merger/reorg
N-14 8C/A,WESTERN ASSET MANAGED MUNICIPALS FUND INC.,886043,2023-05,-11  edgar/data/886043/0001193125-23-142197.txt,merger/reorg
N-14 8C/A,WESTERN ASSET MANAGED MUNICIPALS FUND INC.,886043,2023-05,-22  edgar/data/886043/0001193125-23-150623.txt,merger/reorg
N-14/A,BlackRock Funds V,1738078,2023-06,-16  edgar/data/1738078/0001193125-23-169149.txt,merger/reorg
N-14/A,Brookfield Investment Funds,1520738,2023-06,-30  edgar/data/1520738/0001104659-23-076994.txt,merger/reorg
N-14/A,CANTOR SELECT PORTFOLIOS TRUST,1903606,2023-05,-24  edgar/data/1903606/0001580642-23-002890.txt,merger/reorg
N-14/A,CANTOR SELECT PORTFOLIOS TRUST,1903606,2023-05,-26  edgar/data/1903606/0001580642-23-002933.txt,merger/reorg
N-14/A,Capitol Series Trust,1587551,2023-04,-12  edgar/data/1587551/0001580642-23-002066.txt,merger/reorg
N-14/A,Capitol Series Trust,1587551,2023-05,-15  edgar/data/1587551/0001580642-23-002726.txt,merger/reorg
N-14/A,Capitol Series Trust,1587551,2023-05,-16  edgar/data/1587551/0001580642-23-002741.txt,merger/reorg
N-14/A,DELAWARE GROUP GOVERNMENT FUND,769220,2023-05,-01  edgar/data/769220/0001137439-23-000562.txt,merger/reorg
N-14/A,DELAWARE GROUP INCOME FUNDS,27825,2023-05,-01  edgar/data/27825/0001137439-23-000564.txt,merger/reorg
N-14/A,DELAWARE GROUP LIMITED-TERM GOVERNMENT FUNDS,357059,2023-05,-01  edgar/data/357059/0001137439-23-000566.txt,merger/reorg
N-14/A,DELAWARE GROUP TAX FREE FUND,728352,2023-05,-01  edgar/data/728352/0001137439-23-000568.txt,merger/reorg
N-14/A,First American Funds Trust,1890141,2023-06,-20  edgar/data/1890141/0000897101-23-000256.txt,merger/reorg
N-14/A,MAINSTAY FUNDS TRUST,1469192,2023-06,-15  edgar/data/1469192/0001104659-23-071523.txt,merger/reorg
N-14/A,MAINSTAY FUNDS TRUST,1469192,2023-06,-15  edgar/data/1469192/0001104659-23-071525.txt,merger/reorg
N-14/A,MAINSTAY FUNDS TRUST,1469192,2023-06,-15  edgar/data/1469192/0001104659-23-071527.txt,merger/reorg
N-14/A,MATTHEWS INTERNATIONAL FUNDS,923184,2023-05,-19  edgar/data/923184/0001193125-23-149446.txt,merger/reorg
N-14/A,MATTHEWS INTERNATIONAL FUNDS,923184,2023-05,-24  edgar/data/923184/0001193125-23-152967.txt,merger/reorg
N-14/A,MATTHEWS INTERNATIONAL FUNDS,923184,2023-05,-31  edgar/data/923184/0001193125-23-157993.txt,merger/reorg
N-14/A,PRUDENTIAL SERIES FUND,711175,2023-04,-26  edgar/data/711175/0001104659-23-050399.txt,merger/reorg
N-14/A,"RBB FUND, INC.",831114,2023-06,-08  edgar/data/831114/0001398344-23-011743.txt,merger/reorg
N-14/A,VOYAGEUR MUTUAL FUNDS,906236,2023-05,-01  edgar/data/906236/0001137439-23-000570.txt,merger/reorg
